,E+,SiteKBTU,OS
baseline_sys06.osm,22.1.0-ed759b17ee,6354876.837420714,3.4.0
window_property_frame_and_divider.osm,22.1.0-ed759b17ee,1962066.7425893953,3.4.0
humidity_control.rb,22.1.0-ed759b17ee,7918604.478856031,3.4.0
zone_hvac_cooling_panel.rb,22.1.0-ed759b17ee,1045053.6786862605,3.4.0
water_economizer.rb,22.1.0-ed759b17ee,7873241.951477835,3.4.0
heatpump_varspeed.rb,22.1.0-ed759b17ee,1575945.004116156,3.4.0
heatexchanger_desiccant_balancedflow.rb,22.1.0-ed759b17ee,5265455.839332588,3.4.0
swimmingpool_indoor.osm,22.1.0-ed759b17ee,11524508.365889626,3.4.0
schedule_fixed_interval.osm,22.1.0-ed759b17ee,4177693.5212050085,3.4.0
water_heaters.osm,22.1.0-ed759b17ee,6287420.692968016,3.4.0
baseline_sys08.osm,22.1.0-ed759b17ee,6541359.855842359,3.4.0
plenums.rb,22.1.0-ed759b17ee,5219685.750592657,3.4.0
elcd_no_generators.rb,22.1.0-ed759b17ee,1051195.5336258907,3.4.0
fan_systemmodel.rb,22.1.0-ed759b17ee,11925349.70424133,3.4.0
baseline_sys09.rb,22.1.0-ed759b17ee,6752855.768069074,3.4.0
humidity_control.osm,22.1.0-ed759b17ee,7918604.478856031,3.4.0
multi_stage.rb,22.1.0-ed759b17ee,2984505.50478498,3.4.0
unitary_system.rb,22.1.0-ed759b17ee,3821570.194589686,3.4.0
dist_ht_cl.osm,22.1.0-ed759b17ee,7575172.423481704,3.4.0
utility_bill02.rb,22.1.0-ed759b17ee,5643123.049092632,3.4.0
fan_componentmodel.rb,22.1.0-ed759b17ee,3923185.6680584773,3.4.0
multi_stage.osm,22.1.0-ed759b17ee,2983974.7271976047,3.4.0
airterminal_inletsidemixer.rb,22.1.0-ed759b17ee,3363840.872676776,3.4.0
generator_microturbine.rb,22.1.0-ed759b17ee,48438298.19349532,3.4.0
foundation_kiva_customblocks.rb,22.1.0-ed759b17ee,4565274.89804353,3.4.0
unitary_systems_airloop_and_zonehvac.rb,22.1.0-ed759b17ee,5635502.599445313,3.4.0
pthp_othercoils.osm,22.1.0-ed759b17ee,3937061.7106998637,3.4.0
lowtemprad_electric.osm,22.1.0-ed759b17ee,2104419.3958892524,3.4.0
hightemprad.rb,22.1.0-ed759b17ee,4425917.346843864,3.4.0
shadowcalculation.osm,22.1.0-ed759b17ee,2938782.806901065,3.4.0
zone_hvac.osm,22.1.0-ed759b17ee,,3.4.0
lifecyclecostparameters.osm,22.1.0-ed759b17ee,162673.85235937464,3.4.0
dist_ht_cl.rb,22.1.0-ed759b17ee,7572584.882743249,3.4.0
heatpump_varspeed.osm,22.1.0-ed759b17ee,1575945.004116156,3.4.0
unitary_systems_airloop_and_zonehvac.osm,22.1.0-ed759b17ee,5633322.620068592,3.4.0
performanceprecisiontradeoffs.rb,22.1.0-ed759b17ee,4410951.314514116,3.4.0
zone_air_movement.osm,22.1.0-ed759b17ee,34213724.24062674,3.4.0
zone_air_movement.rb,22.1.0-ed759b17ee,34213724.24062674,3.4.0
solar_collector_integralcollectorstorage.rb,22.1.0-ed759b17ee,6264341.346088386,3.4.0
availability_managers.osm,22.1.0-ed759b17ee,4288948.2947873855,3.4.0
absorption_chillers.rb,22.1.0-ed759b17ee,7840703.389737479,3.4.0
plant_op_schemes.rb,22.1.0-ed759b17ee,7761532.225677709,3.4.0
infiltration.rb,22.1.0-ed759b17ee,1044617.6828109166,3.4.0
airterminal_fourpipebeam.rb,22.1.0-ed759b17ee,6122472.079519889,3.4.0
schedule_fixed_interval_schedulefile.rb,22.1.0-ed759b17ee,4248485.981921211,3.4.0
plant_op_schemes.osm,22.1.0-ed759b17ee,7761532.225677709,3.4.0
unitary_test.osm,22.1.0-ed759b17ee,2120361.679852922,3.4.0
schedule_file.osm,22.1.0-ed759b17ee,6910856.882025303,3.4.0
multiple_loops_w_plenums.osm,22.1.0-ed759b17ee,6491381.459088239,3.4.0
doas_coil_cooling_dx_two_speed.osm,22.1.0-ed759b17ee,3386759.0906459517,3.4.0
meters.osm,22.1.0-ed759b17ee,7822789.646163558,3.4.0
photovoltaics_sandia.rb,22.1.0-ed759b17ee,1957052.7900229378,3.4.0
