,E+,SiteKBTU,OS
baseline_sys06.osm,22.2.0-aa78da9668,6354876.837420714,Transition
window_property_frame_and_divider.osm,22.2.0-aa78da9668,1962066.7425893953,Transition
humidity_control.rb,22.2.0-aa78da9668,7918604.478856031,Transition
zone_hvac_cooling_panel.rb,22.2.0-aa78da9668,1045053.6786862605,Transition
water_economizer.rb,22.2.0-aa78da9668,7873241.951477835,Transition
heatpump_varspeed.rb,22.2.0-aa78da9668,1577177.1663725632,Transition
heatexchanger_desiccant_balancedflow.rb,22.2.0-aa78da9668,5265455.839332588,Transition
swimmingpool_indoor.osm,22.2.0-aa78da9668,11524508.365889626,Transition
schedule_fixed_interval.osm,22.2.0-aa78da9668,4177693.5212050085,Transition
water_heaters.osm,22.2.0-aa78da9668,,Transition
baseline_sys08.osm,22.2.0-aa78da9668,6541359.855842359,Transition
plenums.rb,22.2.0-aa78da9668,5219685.750592657,Transition
elcd_no_generators.rb,22.2.0-aa78da9668,1051195.5336258907,Transition
fan_systemmodel.rb,22.2.0-aa78da9668,11910156.195802707,Transition
baseline_sys09.rb,22.2.0-aa78da9668,6752855.768069074,Transition
humidity_control.osm,22.2.0-aa78da9668,7918604.478856031,Transition
multi_stage.rb,22.2.0-aa78da9668,2984505.50478498,Transition
unitary_system.rb,22.2.0-aa78da9668,3813523.227238226,Transition
dist_ht_cl.osm,22.2.0-aa78da9668,7575172.423481704,Transition
utility_bill02.rb,22.2.0-aa78da9668,,Transition
fan_componentmodel.rb,22.2.0-aa78da9668,3923185.6680584773,Transition
multi_stage.osm,22.2.0-aa78da9668,2983974.7271976047,Transition
airterminal_inletsidemixer.rb,22.2.0-aa78da9668,3363840.872676776,Transition
generator_microturbine.rb,22.2.0-aa78da9668,,Transition
foundation_kiva_customblocks.rb,22.2.0-aa78da9668,,Transition
unitary_systems_airloop_and_zonehvac.rb,22.2.0-aa78da9668,,Transition
pthp_othercoils.osm,22.2.0-aa78da9668,,Transition
lowtemprad_electric.osm,22.2.0-aa78da9668,2104419.3958892524,Transition
hightemprad.rb,22.2.0-aa78da9668,4425917.346843864,Transition
shadowcalculation.osm,22.2.0-aa78da9668,2938782.806901065,Transition
zone_hvac.osm,22.2.0-aa78da9668,,Transition
lifecyclecostparameters.osm,22.2.0-aa78da9668,162673.85235937464,Transition
dist_ht_cl.rb,22.2.0-aa78da9668,7572584.882743249,Transition
heatpump_varspeed.osm,22.2.0-aa78da9668,1577177.1663725632,Transition
unitary_systems_airloop_and_zonehvac.osm,22.2.0-aa78da9668,,Transition
performanceprecisiontradeoffs.rb,22.2.0-aa78da9668,4410951.314514116,Transition
zone_air_movement.osm,22.2.0-aa78da9668,34213724.24062674,Transition
zone_air_movement.rb,22.2.0-aa78da9668,34213724.24062674,Transition
solar_collector_integralcollectorstorage.rb,22.2.0-aa78da9668,,Transition
availability_managers.osm,22.2.0-aa78da9668,4288948.2947873855,Transition
absorption_chillers.rb,22.2.0-aa78da9668,7840703.389737479,Transition
plant_op_schemes.rb,22.2.0-aa78da9668,7761532.225677709,Transition
infiltration.rb,22.2.0-aa78da9668,1044617.6828109166,Transition
airterminal_fourpipebeam.rb,22.2.0-aa78da9668,6122472.079519889,Transition
schedule_fixed_interval_schedulefile.rb,22.2.0-aa78da9668,4248485.981921211,Transition
plant_op_schemes.osm,22.2.0-aa78da9668,7761532.225677709,Transition
