,E+,SiteKBTU,OS
solar_collector_flat_plate_water.rb,8.9.0-1c5ba897d1,6108889.860185799,Transition
air_chillers.rb,8.9.0-1c5ba897d1,12483234.861257749,Transition
baseline_sys02.osm,8.9.0-1c5ba897d1,3979580.7867171196,Transition
pv_and_storage_facilityexcess.osm,8.9.0-1c5ba897d1,5620091.093069019,Transition
utility_bill01.rb,8.9.0-1c5ba897d1,5633379.489095811,Transition
baseline_sys06.osm,8.9.0-1c5ba897d1,6354317.62531973,Transition
heatexchanger_airtoair_sensibleandlatent.osm,8.9.0-1c5ba897d1,3462811.9363798923,Transition
thermal_storage.rb,8.9.0-1c5ba897d1,9152795.063900813,Transition
zone_control_contaminant_controller.osm,8.9.0-1c5ba897d1,6758703.799701407,Transition
ems.osm,8.9.0-1c5ba897d1,32481.69271313739,Transition
headered_pumps.rb,8.9.0-1c5ba897d1,8945450.590661073,Transition
centralheatpumpsystem.osm,8.9.0-1c5ba897d1,7450344.90873644,Transition
baseline_sys10.osm,8.9.0-1c5ba897d1,5904331.969279778,Transition
moisture_settings.rb,8.9.0-1c5ba897d1,5629891.522093059,Transition
water_heaters.osm,8.9.0-1c5ba897d1,6281278.838028385,Transition
plant_op_deltatemp_schemes.rb,8.9.0-1c5ba897d1,2668541.1895573325,Transition
baseline_sys05.osm,8.9.0-1c5ba897d1,7938015.7734800475,Transition
air_chillers.osm,8.9.0-1c5ba897d1,5301662.453328556,Transition
heatpump_hot_water.osm,8.9.0-1c5ba897d1,4528850.286109889,Transition
plantloop_avms.rb,8.9.0-1c5ba897d1,5626735.291082415,Transition
fuelcell.osm,8.9.0-1c5ba897d1,56248927.34600525,Transition
cooling_coils.osm,8.9.0-1c5ba897d1,9098352.448510017,Transition
unitary_system.osm,8.9.0-1c5ba897d1,4117715.653831582,Transition
schedule_ruleset_2013.rb,8.9.0-1c5ba897d1,6779574.732690706,Transition
ducts_and_pipes.osm,8.9.0-1c5ba897d1,7003686.090788789,Transition
ideal_plant.osm,8.9.0-1c5ba897d1,7157725.32918211,Transition
space_load_instances.osm,8.9.0-1c5ba897d1,4981025.399697764,Transition
centralheatpumpsystem.rb,8.9.0-1c5ba897d1,7394764.912801268,Transition
heatexchanger_airtoair_sensibleandlatent.rb,8.9.0-1c5ba897d1,3455911.8277440113,Transition
meters.rb,8.9.0-1c5ba897d1,9152795.063900813,Transition
baseline_sys09.rb,8.9.0-1c5ba897d1,6752324.990481698,Transition
air_terminals.osm,8.9.0-1c5ba897d1,11193786.538098698,Transition
baseline_sys02.rb,8.9.0-1c5ba897d1,3794879.664481663,Transition
interior_partitions.osm,8.9.0-1c5ba897d1,6108889.860185799,Transition
hot_water.rb,8.9.0-1c5ba897d1,7150749.395176603,Transition
dual_duct.rb,8.9.0-1c5ba897d1,5382425.950150454,Transition
ideal_plant.rb,8.9.0-1c5ba897d1,7157725.32918211,Transition
heatpump_hot_water.rb,8.9.0-1c5ba897d1,4528850.286109889,Transition
schedule_ruleset_2012_LeapYear.rb,8.9.0-1c5ba897d1,6790815.843737621,Transition
meters.osm,8.9.0-1c5ba897d1,9152814.02024322,Transition
fluid_coolers.rb,8.9.0-1c5ba897d1,6858300.42270393,Transition
airterminal_cooledbeam.osm,8.9.0-1c5ba897d1,6206496.067235664,Transition
zone_hvac.rb,8.9.0-1c5ba897d1,,Transition
baseline_sys04.rb,8.9.0-1c5ba897d1,4435604.037813466,Transition
plant_op_temp_schemes.osm,8.9.0-1c5ba897d1,2668541.1895573325,Transition
utility_bill02.osm,8.9.0-1c5ba897d1,5657018.048076426,Transition
baseline_sys04.osm,8.9.0-1c5ba897d1,4462180.829867051,Transition
plantloop_avms.osm,8.9.0-1c5ba897d1,5626735.291082415,Transition
baseline_sys03.rb,8.9.0-1c5ba897d1,7142455.995373862,Transition
daylighting_shades.rb,8.9.0-1c5ba897d1,5672401.11993911,Transition
fluid_coolers.osm,8.9.0-1c5ba897d1,6858300.42270393,Transition
baseline_sys08.rb,8.9.0-1c5ba897d1,6552800.008484541,Transition
headered_pumps.osm,8.9.0-1c5ba897d1,8950398.196029108,Transition
autosize_hvac.rb,8.9.0-1c5ba897d1,,Transition
refrigeration_system.osm,8.9.0-1c5ba897d1,8702231.239417473,Transition
setpoint_managers.osm,8.9.0-1c5ba897d1,9431671.295210602,Transition
baseline_sys03.osm,8.9.0-1c5ba897d1,7136873.352535217,Transition
plant_op_schemes.rb,8.9.0-1c5ba897d1,9083831.890226819,Transition
dist_ht_cl.rb,8.9.0-1c5ba897d1,8783089.517951401,Transition
lowtemprad_electric.osm,8.9.0-1c5ba897d1,2104428.8740604552,Transition
plant_op_schemes.osm,8.9.0-1c5ba897d1,9083860.324740427,Transition
generator_microturbine.osm,8.9.0-1c5ba897d1,49554021.11667214,Transition
availability_managers.rb,8.9.0-1c5ba897d1,4293933.8128402345,Transition
absorption_chillers.osm,8.9.0-1c5ba897d1,9173504.86797966,Transition
ExampleModel.rb,8.9.0-1c5ba897d1,166370.3391285966,Transition
zone_fan_exhaust.rb,8.9.0-1c5ba897d1,4182821.2118259035,Transition
plantloop_avms_temp.osm,8.9.0-1c5ba897d1,8133029.145984513,Transition
water_economizer.rb,8.9.0-1c5ba897d1,9167438.838409655,Transition
roof_vegetation.osm,8.9.0-1c5ba897d1,4741597.316935416,Transition
daylighting_shades.osm,8.9.0-1c5ba897d1,5672401.11993911,Transition
schedule_ruleset_2013.osm,8.9.0-1c5ba897d1,6779574.732690706,Transition
lowtemprad_varflow.rb,8.9.0-1c5ba897d1,2089235.3656218331,Transition
zone_hvac.osm,8.9.0-1c5ba897d1,,Transition
plant_op_temp_schemes.rb,8.9.0-1c5ba897d1,2668541.1895573325,Transition
ems.rb,8.9.0-1c5ba897d1,5626735.291082415,Transition
schedule_ruleset_2012_LeapYear.osm,8.9.0-1c5ba897d1,6790815.843737621,Transition
airloop_and_zonehvac.rb,8.9.0-1c5ba897d1,3769876.2488477975,Transition
schedule_ruleset_2012_NonLeapYear.rb,8.9.0-1c5ba897d1,6790815.843737621,Transition
plenums.osm,8.9.0-1c5ba897d1,5738625.102135401,Transition
multi_stage.osm,8.9.0-1c5ba897d1,2968724.3497317634,Transition
unitary_vav_bypass.rb,8.9.0-1c5ba897d1,4573833.686639959,Transition
evaporative_cooling.rb,8.9.0-1c5ba897d1,7136570.051056717,Transition
air_terminals.rb,8.9.0-1c5ba897d1,8637229.941306386,Transition
lifecyclecostparameters.osm,8.9.0-1c5ba897d1,166067.03765009635,Transition
airloop_avms.osm,8.9.0-1c5ba897d1,4179285.8539671353,Transition
baseline_sys08.osm,8.9.0-1c5ba897d1,6540601.602146109,Transition
absorption_chillers.rb,8.9.0-1c5ba897d1,9173514.346150864,Transition
exterior_equipment.osm,8.9.0-1c5ba897d1,4921597.26625412,Transition
airterminal_cooledbeam.rb,8.9.0-1c5ba897d1,6211074.023926778,Transition
lowtemprad_constflow.osm,8.9.0-1c5ba897d1,8979922.69932687,Transition
baseline_sys07.rb,8.9.0-1c5ba897d1,9152785.585729612,Transition
space_load_instances.rb,8.9.0-1c5ba897d1,4981025.399697764,Transition
zone_air_movement.osm,8.9.0-1c5ba897d1,34212738.51082161,Transition
unitary_system_performance_multispeed.osm,8.9.0-1c5ba897d1,2154862.223032327,Transition
photovoltaics.osm,8.9.0-1c5ba897d1,5627275.546840994,Transition
water_heaters.rb,8.9.0-1c5ba897d1,6091459.503343238,Transition
exterior_equipment.rb,8.9.0-1c5ba897d1,4921597.26625412,Transition
baseline_sys01.osm,8.9.0-1c5ba897d1,5645113.46504529,Transition
setpoint_managers.rb,8.9.0-1c5ba897d1,9431671.295210602,Transition
utility_bill02.rb,8.9.0-1c5ba897d1,5657018.048076426,Transition
pv_and_storage_demandleveling.rb,8.9.0-1c5ba897d1,5547924.297528362,Transition
lowtemprad_electric.rb,8.9.0-1c5ba897d1,2104135.050753158,Transition
dual_duct.osm,8.9.0-1c5ba897d1,5382425.950150454,Transition
generator_microturbine.rb,8.9.0-1c5ba897d1,49554021.11667214,Transition
unitary_system.rb,8.9.0-1c5ba897d1,3676885.911173858,Transition
humidity_control.rb,8.9.0-1c5ba897d1,7917884.137844593,Transition
evaporative_cooling.osm,8.9.0-1c5ba897d1,7105585.909393674,Transition
baseline_sys05.rb,8.9.0-1c5ba897d1,8431686.32059524,Transition
interior_partitions.rb,8.9.0-1c5ba897d1,2866473.8387923623,Transition
plantloop_avms_temp.rb,8.9.0-1c5ba897d1,8133029.145984513,Transition
zone_fan_exhaust.osm,8.9.0-1c5ba897d1,4186678.827505579,Transition
unitary_system_performance_multispeed.rb,8.9.0-1c5ba897d1,2146758.3866536478,Transition
dsn_oa_w_ideal_loads.rb,8.9.0-1c5ba897d1,6487694.4504902195,Transition
multi_stage.rb,8.9.0-1c5ba897d1,2968724.3497317634,Transition
baseline_sys06.rb,8.9.0-1c5ba897d1,6703540.843299171,Transition
unitary_test.rb,8.9.0-1c5ba897d1,3392445.9933678317,Transition
coolingtowers.osm,8.9.0-1c5ba897d1,8962918.860188447,Transition
foundation_kiva.osm,8.9.0-1c5ba897d1,4618902.390710858,Transition
