,E+,SiteKBTU,OS
solar_collector_flat_plate_water.rb,8.8.0-7c3bbe4830,6108889.860185799,2.4.2
air_chillers.rb,8.8.0-7c3bbe4830,12501707.816932656,2.4.2
baseline_sys02.osm,8.8.0-7c3bbe4830,3979580.7867171196,2.4.2
pv_and_storage_facilityexcess.osm,8.8.0-7c3bbe4830,5620091.093069019,2.4.2
utility_bill01.rb,8.8.0-7c3bbe4830,5633379.489095811,2.4.2
baseline_sys06.osm,8.8.0-7c3bbe4830,6357502.290843982,2.4.2
heatexchanger_airtoair_sensibleandlatent.osm,8.8.0-7c3bbe4830,3462811.9363798923,2.4.2
thermal_storage.rb,8.8.0-7c3bbe4830,9129156.504920201,2.4.2
zone_control_contaminant_controller.osm,8.8.0-7c3bbe4830,6758703.799701407,2.4.2
ems.osm,8.8.0-7c3bbe4830,32481.69271313739,2.4.2
headered_pumps.rb,8.8.0-7c3bbe4830,8940938.981168382,2.4.2
centralheatpumpsystem.osm,8.8.0-7c3bbe4830,7450344.90873644,2.4.2
baseline_sys10.osm,8.8.0-7c3bbe4830,5904331.969279778,2.4.2
moisture_settings.rb,8.8.0-7c3bbe4830,5629891.522093059,2.4.2
water_heaters.osm,8.8.0-7c3bbe4830,6281278.838028385,2.4.2
plant_op_deltatemp_schemes.rb,8.8.0-7c3bbe4830,2663404.0207652343,2.4.2
baseline_sys05.osm,8.8.0-7c3bbe4830,7942385.210404692,2.4.2
air_chillers.osm,8.8.0-7c3bbe4830,5275436.3536094865,2.4.2
heatpump_hot_water.osm,8.8.0-7c3bbe4830,4528850.286109889,2.4.2
plantloop_avms.rb,8.8.0-7c3bbe4830,5626735.291082415,2.4.2
fuelcell.osm,8.8.0-7c3bbe4830,56248927.34600525,2.4.2
cooling_coils.osm,8.8.0-7c3bbe4830,9093006.75995145,2.4.2
unitary_system.osm,8.8.0-7c3bbe4830,4117715.653831582,2.4.2
schedule_ruleset_2013.rb,8.8.0-7c3bbe4830,6779574.732690706,2.4.2
ducts_and_pipes.osm,8.8.0-7c3bbe4830,7003686.090788789,2.4.2
ideal_plant.osm,8.8.0-7c3bbe4830,7157725.32918211,2.4.2
space_load_instances.osm,8.8.0-7c3bbe4830,4981025.399697764,2.4.2
centralheatpumpsystem.rb,8.8.0-7c3bbe4830,7394764.912801268,2.4.2
heatexchanger_airtoair_sensibleandlatent.rb,8.8.0-7c3bbe4830,3455911.8277440113,2.4.2
meters.rb,8.8.0-7c3bbe4830,9129147.026748998,2.4.2
baseline_sys09.rb,8.8.0-7c3bbe4830,6752324.990481698,2.4.2
air_terminals.osm,8.8.0-7c3bbe4830,11174972.36826048,2.4.2
baseline_sys02.rb,8.8.0-7c3bbe4830,3794879.664481663,2.4.2
interior_partitions.osm,8.8.0-7c3bbe4830,6108889.860185799,2.4.2
hot_water.rb,8.8.0-7c3bbe4830,7150749.395176603,2.4.2
dual_duct.rb,8.8.0-7c3bbe4830,5382425.950150454,2.4.2
ideal_plant.rb,8.8.0-7c3bbe4830,7157725.32918211,2.4.2
heatpump_hot_water.rb,8.8.0-7c3bbe4830,4528850.286109889,2.4.2
schedule_ruleset_2012_LeapYear.rb,8.8.0-7c3bbe4830,6790815.843737621,2.4.2
meters.osm,8.8.0-7c3bbe4830,9129156.504920201,2.4.2
fluid_coolers.rb,8.8.0-7c3bbe4830,6858300.42270393,2.4.2
airterminal_cooledbeam.osm,8.8.0-7c3bbe4830,6206496.067235664,2.4.2
zone_hvac.rb,8.8.0-7c3bbe4830,6288832.940477282,2.4.2
baseline_sys04.rb,8.8.0-7c3bbe4830,4435604.037813466,2.4.2
plant_op_temp_schemes.osm,8.8.0-7c3bbe4830,2663404.0207652343,2.4.2
utility_bill02.osm,8.8.0-7c3bbe4830,5657018.048076426,2.4.2
baseline_sys04.osm,8.8.0-7c3bbe4830,4462180.829867051,2.4.2
plantloop_avms.osm,8.8.0-7c3bbe4830,5626735.291082415,2.4.2
baseline_sys03.rb,8.8.0-7c3bbe4830,7142455.995373862,2.4.2
daylighting_shades.rb,8.8.0-7c3bbe4830,5672401.11993911,2.4.2
fluid_coolers.osm,8.8.0-7c3bbe4830,6858300.42270393,2.4.2
baseline_sys08.rb,8.8.0-7c3bbe4830,6548667.525839975,2.4.2
headered_pumps.osm,8.8.0-7c3bbe4830,8945877.108365213,2.4.2
autosize_hvac.rb,8.8.0-7c3bbe4830,,2.4.2
refrigeration_system.osm,8.8.0-7c3bbe4830,,2.4.2
setpoint_managers.osm,8.8.0-7c3bbe4830,9400582.893664325,2.4.2
baseline_sys03.osm,8.8.0-7c3bbe4830,7136873.352535217,2.4.2
plant_op_schemes.rb,8.8.0-7c3bbe4830,9061870.967549158,2.4.2
dist_ht_cl.rb,8.8.0-7c3bbe4830,8784511.243631871,2.4.2
lowtemprad_electric.osm,8.8.0-7c3bbe4830,2104428.8740604552,2.4.2
plant_op_schemes.osm,8.8.0-7c3bbe4830,9061870.967549158,2.4.2
generator_microturbine.osm,8.8.0-7c3bbe4830,49554021.11667214,2.4.2
availability_managers.rb,8.8.0-7c3bbe4830,4293933.8128402345,2.4.2
absorption_chillers.osm,8.8.0-7c3bbe4830,9152889.845612846,2.4.2
ExampleModel.rb,8.8.0-7c3bbe4830,166370.3391285966,2.4.2
zone_fan_exhaust.rb,8.8.0-7c3bbe4830,4182821.2118259035,2.4.2
plantloop_avms_temp.osm,8.8.0-7c3bbe4830,8112433.079960105,2.4.2
water_economizer.rb,8.8.0-7c3bbe4830,9142738.724254292,2.4.2
roof_vegetation.osm,8.8.0-7c3bbe4830,4741597.316935416,2.4.2
daylighting_shades.osm,8.8.0-7c3bbe4830,5672401.11993911,2.4.2
schedule_ruleset_2013.osm,8.8.0-7c3bbe4830,6779574.732690706,2.4.2
lowtemprad_varflow.rb,8.8.0-7c3bbe4830,2089235.3656218331,2.4.2
zone_hvac.osm,8.8.0-7c3bbe4830,3841114.183610547,2.4.2
plant_op_temp_schemes.rb,8.8.0-7c3bbe4830,2663404.0207652343,2.4.2
ems.rb,8.8.0-7c3bbe4830,5626735.291082415,2.4.2
schedule_ruleset_2012_LeapYear.osm,8.8.0-7c3bbe4830,6790815.843737621,2.4.2
airloop_and_zonehvac.rb,8.8.0-7c3bbe4830,3769876.2488477975,2.4.2
schedule_ruleset_2012_NonLeapYear.rb,8.8.0-7c3bbe4830,6790815.843737621,2.4.2
plenums.osm,8.8.0-7c3bbe4830,5654515.810878797,2.4.2
multi_stage.osm,8.8.0-7c3bbe4830,2969861.730276139,2.4.2
unitary_vav_bypass.rb,8.8.0-7c3bbe4830,4573833.686639959,2.4.2
evaporative_cooling.rb,8.8.0-7c3bbe4830,7136570.051056717,2.4.2
air_terminals.rb,8.8.0-7c3bbe4830,8612273.916528536,2.4.2
lifecyclecostparameters.osm,8.8.0-7c3bbe4830,166067.03765009635,2.4.2
airloop_avms.osm,8.8.0-7c3bbe4830,4179285.8539671353,2.4.2
baseline_sys08.osm,8.8.0-7c3bbe4830,6536469.119501543,2.4.2
absorption_chillers.rb,8.8.0-7c3bbe4830,9152899.32378405,2.4.2
exterior_equipment.osm,8.8.0-7c3bbe4830,4921597.26625412,2.4.2
airterminal_cooledbeam.rb,8.8.0-7c3bbe4830,6211074.023926778,2.4.2
lowtemprad_constflow.osm,8.8.0-7c3bbe4830,8979922.69932687,2.4.2
baseline_sys07.rb,8.8.0-7c3bbe4830,9129156.504920201,2.4.2
space_load_instances.rb,8.8.0-7c3bbe4830,4981025.399697764,2.4.2
zone_air_movement.osm,8.8.0-7c3bbe4830,34212738.51082161,2.4.2
unitary_system_performance_multispeed.osm,8.8.0-7c3bbe4830,2154862.223032327,2.4.2
photovoltaics.osm,8.8.0-7c3bbe4830,5627275.546840994,2.4.2
water_heaters.rb,8.8.0-7c3bbe4830,6091459.503343238,2.4.2
exterior_equipment.rb,8.8.0-7c3bbe4830,4921597.26625412,2.4.2
baseline_sys01.osm,8.8.0-7c3bbe4830,5645113.46504529,2.4.2
setpoint_managers.rb,8.8.0-7c3bbe4830,9400582.893664325,2.4.2
utility_bill02.rb,8.8.0-7c3bbe4830,5657018.048076426,2.4.2
pv_and_storage_demandleveling.rb,8.8.0-7c3bbe4830,5547924.297528362,2.4.2
lowtemprad_electric.rb,8.8.0-7c3bbe4830,2104135.050753158,2.4.2
dual_duct.osm,8.8.0-7c3bbe4830,5382425.950150454,2.4.2
generator_microturbine.rb,8.8.0-7c3bbe4830,49554021.11667214,2.4.2
unitary_system.rb,8.8.0-7c3bbe4830,3676885.911173858,2.4.2
humidity_control.rb,8.8.0-7c3bbe4830,7917884.137844593,2.4.2
evaporative_cooling.osm,8.8.0-7c3bbe4830,7105585.909393674,2.4.2
baseline_sys05.rb,8.8.0-7c3bbe4830,8427572.79429308,2.4.2
interior_partitions.rb,8.8.0-7c3bbe4830,2866473.8387923623,2.4.2
plantloop_avms_temp.rb,8.8.0-7c3bbe4830,8112433.079960105,2.4.2
zone_fan_exhaust.osm,8.8.0-7c3bbe4830,4186678.827505579,2.4.2
unitary_system_performance_multispeed.rb,8.8.0-7c3bbe4830,2146758.3866536478,2.4.2
dsn_oa_w_ideal_loads.rb,8.8.0-7c3bbe4830,6487694.4504902195,2.4.2
multi_stage.rb,8.8.0-7c3bbe4830,2969861.730276139,2.4.2
baseline_sys06.rb,8.8.0-7c3bbe4830,6701152.344155982,2.4.2
unitary_test.rb,8.8.0-7c3bbe4830,3392445.9933678317,2.4.2
coolingtowers.osm,8.8.0-7c3bbe4830,8943024.178833071,2.4.2
foundation_kiva.osm,8.8.0-7c3bbe4830,4538830.800386789,2.4.2
surface_properties.rb,8.8.0-7c3bbe4830,7423787.073025261,2.4.2
dsn_oa_w_ideal_loads.osm,8.8.0-7c3bbe4830,6490585.292707175,2.4.2
pv_and_storage_facilityexcess.rb,8.8.0-7c3bbe4830,5620091.093069019,2.4.2
zone_hvac2.rb,8.8.0-7c3bbe4830,4334178.127768737,2.4.2
daylighting_no_shades.osm,8.8.0-7c3bbe4830,5552890.859238803,2.4.2
zone_mixing.osm,8.8.0-7c3bbe4830,1044617.6828109166,2.4.2
zone_control_contaminant_controller.rb,8.8.0-7c3bbe4830,6758703.799701407,2.4.2
coolingtowers.rb,8.8.0-7c3bbe4830,9173230.001014771,2.4.2
pv_and_storage_demandleveling.osm,8.8.0-7c3bbe4830,5547924.297528362,2.4.2
additional_props.rb,8.8.0-7c3bbe4830,5626735.291082415,2.4.2
baseline_sys09.osm,8.8.0-7c3bbe4830,6738325.731614671,2.4.2
asymmetric_interior_constructions.osm,8.8.0-7c3bbe4830,5806090.724759304,2.4.2
fan_on_off.osm,8.8.0-7c3bbe4830,8622832.599248827,2.4.2
cooling_coils.rb,8.8.0-7c3bbe4830,9093006.75995145,2.4.2
hightemprad.rb,8.8.0-7c3bbe4830,4426912.554820193,2.4.2
surface_properties.osm,8.8.0-7c3bbe4830,7557059.638312517,2.4.2
plant_op_deltatemp_schemes.osm,8.8.0-7c3bbe4830,2663404.0207652343,2.4.2
dist_ht_cl.osm,8.8.0-7c3bbe4830,8789420.936315095,2.4.2
vrf.rb,8.8.0-7c3bbe4830,4214990.124889338,2.4.2
airloop_and_zonehvac.osm,8.8.0-7c3bbe4830,5644819.641737993,2.4.2
hightemprad.osm,8.8.0-7c3bbe4830,4426912.554820193,2.4.2
hot_water.osm,8.8.0-7c3bbe4830,7150749.395176603,2.4.2
scheduled_infiltration.osm,8.8.0-7c3bbe4830,744368.1754380638,2.4.2
utility_bill01.osm,8.8.0-7c3bbe4830,5633379.489095811,2.4.2
zone_mixing.rb,8.8.0-7c3bbe4830,1044617.6828109166,2.4.2
plenums.rb,8.8.0-7c3bbe4830,5654515.810878797,2.4.2
unitary_test.osm,8.8.0-7c3bbe4830,3392445.9933678317,2.4.2
availability_managers.osm,8.8.0-7c3bbe4830,4293933.8128402345,2.4.2
ducts_and_pipes.rb,8.8.0-7c3bbe4830,7006036.677247167,2.4.2
baseline_sys10.rb,8.8.0-7c3bbe4830,5915525.6894706795,2.4.2
refrigeration_system.rb,8.8.0-7c3bbe4830,,2.4.2
zone_air_movement.rb,8.8.0-7c3bbe4830,34212738.51082161,2.4.2
lowtemprad_constflow.rb,8.8.0-7c3bbe4830,9010423.454258552,2.4.2
thermal_storage.osm,8.8.0-7c3bbe4830,9129156.504920201,2.4.2
fan_on_off.rb,8.8.0-7c3bbe4830,9009541.98433666,2.4.2
humidity_control.osm,8.8.0-7c3bbe4830,7917884.137844593,2.4.2
fuelcell.rb,8.8.0-7c3bbe4830,7150749.395176603,2.4.2
unitary_vav_bypass.osm,8.8.0-7c3bbe4830,4573833.686639959,2.4.2
airloop_avms.rb,8.8.0-7c3bbe4830,4179285.8539671353,2.4.2
schedule_ruleset_2012_NonLeapYear.osm,8.8.0-7c3bbe4830,6790815.843737621,2.4.2
foundation_kiva.rb,8.8.0-7c3bbe4830,4538830.800386789,2.4.2
moisture_settings.osm,8.8.0-7c3bbe4830,5648013.785433449,2.4.2
daylighting_no_shades.rb,8.8.0-7c3bbe4830,5552890.859238803,2.4.2
