,E+,SiteKBTU,OS
coilsystem_dxhx.rb,9.2.0-d67e9e635f,1156753.9263151851,Transition
solar_collector_flat_plate_water.rb,9.2.0-d67e9e635f,6115031.715125429,Transition
airterminal_fourpipebeam.rb,9.2.0-d67e9e635f,6121495.827885967,Transition
air_chillers.rb,9.2.0-d67e9e635f,12542435.518592518,Transition
baseline_sys02.osm,9.2.0-d67e9e635f,3972699.6344236447,Transition
pv_and_storage_facilityexcess.osm,9.2.0-d67e9e635f,5626242.426179851,Transition
sql_wrap_nonleap,9.2.0-d67e9e635f,0.0,Transition
multiple_airloops.osm,9.2.0-d67e9e635f,,Transition
utility_bill01.rb,9.2.0-d67e9e635f,5639454.996837019,Transition
adiabatic_construction_set.rb,9.2.0-d67e9e635f,1894449.469226243,Transition
electric_equipment_ITE.rb,9.2.0-d67e9e635f,8028418.570415533,Transition
baseline_sys06.osm,9.2.0-d67e9e635f,6354848.402907105,Transition
heatexchanger_airtoair_sensibleandlatent.osm,9.2.0-d67e9e635f,3464461.1381692374,Transition
unitary_systems_airloop_and_zonehvac.rb,9.2.0-d67e9e635f,5635512.077616516,Transition
thermal_storage.rb,9.2.0-d67e9e635f,7821794.438187229,Transition
zone_control_contaminant_controller.osm,9.2.0-d67e9e635f,6759329.359000813,Transition
ems.osm,9.2.0-d67e9e635f,32500.64905554365,Transition
headered_pumps.rb,9.2.0-d67e9e635f,7690190.031031725,Transition
centralheatpumpsystem.osm,9.2.0-d67e9e635f,7687801.531888536,Transition
baseline_sys10.osm,9.2.0-d67e9e635f,5904834.312353545,Transition
unitary_systems_airloop_and_zonehvac.osm,9.2.0-d67e9e635f,5633351.054582202,Transition
moisture_settings.rb,9.2.0-d67e9e635f,5636137.636915922,Transition
water_heaters.osm,9.2.0-d67e9e635f,6287449.1274816245,Transition
schedule_file.rb,9.2.0-d67e9e635f,6910875.838367709,Transition
plant_op_deltatemp_schemes.rb,9.2.0-d67e9e635f,2419322.1559421485,Transition
baseline_sys05.osm,9.2.0-d67e9e635f,6988682.145774229,Transition
sql_specific_fullyear_leap,9.2.0-d67e9e635f,0.0,Transition
air_chillers.osm,9.2.0-d67e9e635f,4224591.512318112,Transition
heatpump_hot_water.osm,9.2.0-d67e9e635f,4530793.311206532,Transition
plantloop_avms.rb,9.2.0-d67e9e635f,5632952.9713916695,Transition
fuelcell.osm,9.2.0-d67e9e635f,7470618.716939942,Transition
cooling_coils.osm,9.2.0-d67e9e635f,8165055.8864799,Transition
unitary_system.osm,9.2.0-d67e9e635f,3806461.989691892,Transition
ducts_and_pipes.osm,9.2.0-d67e9e635f,5388624.674117303,Transition
