,E+,SiteKBTU,OS
baseline_sys06.osm,22.2.0-aa78da9668,6354876.837420714,3.5.1
window_property_frame_and_divider.osm,22.2.0-aa78da9668,1962066.7425893953,3.5.1
humidity_control.rb,22.2.0-aa78da9668,7918604.478856031,3.5.1
zone_hvac_cooling_panel.rb,22.2.0-aa78da9668,1045053.6786862605,3.5.1
water_economizer.rb,22.2.0-aa78da9668,7873241.951477835,3.5.1
heatpump_varspeed.rb,22.2.0-aa78da9668,1577177.1663725632,3.5.1
heatexchanger_desiccant_balancedflow.rb,22.2.0-aa78da9668,5265455.839332588,3.5.1
swimmingpool_indoor.osm,22.2.0-aa78da9668,11524508.365889626,3.5.1
schedule_fixed_interval.osm,22.2.0-aa78da9668,4177693.5212050085,3.5.1
water_heaters.osm,22.2.0-aa78da9668,6286207.487054015,3.5.1
baseline_sys08.osm,22.2.0-aa78da9668,6541359.855842359,3.5.1
python_plugin.osm,22.2.0-aa78da9668,1044617.6828109166,3.5.1
plenums.rb,22.2.0-aa78da9668,5219685.750592657,3.5.1
elcd_no_generators.rb,22.2.0-aa78da9668,1051195.5336258907,3.5.1
fan_systemmodel.rb,22.2.0-aa78da9668,12016463.36401705,3.5.1
baseline_sys09.rb,22.2.0-aa78da9668,6752855.768069074,3.5.1
humidity_control.osm,22.2.0-aa78da9668,7918604.478856031,3.5.1
multi_stage.rb,22.2.0-aa78da9668,2984505.50478498,3.5.1
unitary_system.rb,22.2.0-aa78da9668,3813523.227238226,3.5.1
dist_ht_cl.osm,22.2.0-aa78da9668,7575172.423481704,3.5.1
utility_bill02.rb,22.2.0-aa78da9668,7077085.048585853,3.5.1
fan_componentmodel.rb,22.2.0-aa78da9668,3923185.6680584773,3.5.1
multi_stage.osm,22.2.0-aa78da9668,2983974.7271976047,3.5.1
airterminal_inletsidemixer.rb,22.2.0-aa78da9668,3363840.872676776,3.5.1
generator_microturbine.rb,22.2.0-aa78da9668,55742290.66068418,3.5.1
foundation_kiva_customblocks.rb,22.2.0-aa78da9668,6342934.341704766,3.5.1
unitary_systems_airloop_and_zonehvac.rb,22.2.0-aa78da9668,7293452.740810977,3.5.1
pthp_othercoils.osm,22.2.0-aa78da9668,3935203.9891440496,3.5.1
lowtemprad_electric.osm,22.2.0-aa78da9668,2104419.3958892524,3.5.1
hightemprad.rb,22.2.0-aa78da9668,4425917.346843864,3.5.1
shadowcalculation.osm,22.2.0-aa78da9668,2938782.806901065,3.5.1
zone_hvac.osm,22.2.0-aa78da9668,,3.5.1
lifecyclecostparameters.osm,22.2.0-aa78da9668,162673.85235937464,3.5.1
dist_ht_cl.rb,22.2.0-aa78da9668,7572584.882743249,3.5.1
surface_properties_ground_and_solarmult.rb,22.2.0-aa78da9668,2576157.4548403933,3.5.1
heatpump_varspeed.osm,22.2.0-aa78da9668,1577177.1663725632,3.5.1
unitary_systems_airloop_and_zonehvac.osm,22.2.0-aa78da9668,5631768.199991278,3.5.1
performanceprecisiontradeoffs.rb,22.2.0-aa78da9668,4410951.314514116,3.5.1
zone_air_movement.osm,22.2.0-aa78da9668,34213724.24062674,3.5.1
zone_air_movement.rb,22.2.0-aa78da9668,34213724.24062674,3.5.1
solar_collector_integralcollectorstorage.rb,22.2.0-aa78da9668,7712131.997366978,3.5.1
availability_managers.osm,22.2.0-aa78da9668,4288948.2947873855,3.5.1
absorption_chillers.rb,22.2.0-aa78da9668,7840703.389737479,3.5.1
plant_op_schemes.rb,22.2.0-aa78da9668,7761532.225677709,3.5.1
infiltration.rb,22.2.0-aa78da9668,1044617.6828109166,3.5.1
airterminal_fourpipebeam.rb,22.2.0-aa78da9668,6122472.079519889,3.5.1
schedule_fixed_interval_schedulefile.rb,22.2.0-aa78da9668,4248485.981921211,3.5.1
plant_op_schemes.osm,22.2.0-aa78da9668,7761532.225677709,3.5.1
setpoint_manager_systemnodereset.rb,22.2.0-aa78da9668,3192958.924055488,3.5.1
unitary_test.osm,22.2.0-aa78da9668,2120361.679852922,3.5.1
schedule_file.osm,22.2.0-aa78da9668,6910856.882025303,3.5.1
multiple_loops_w_plenums.osm,22.2.0-aa78da9668,6491381.459088239,3.5.1
doas_coil_cooling_dx_two_speed.osm,22.2.0-aa78da9668,3386759.0906459517,3.5.1
meters.osm,22.2.0-aa78da9668,7822789.646163558,3.5.1
photovoltaics_sandia.rb,22.2.0-aa78da9668,1957052.7900229378,3.5.1
zone_mixing.osm,22.2.0-aa78da9668,1044617.6828109166,3.5.1
baseline_sys07.osm,22.2.0-aa78da9668,7567627.7992040105,3.5.1
foundation_kiva.osm,22.2.0-aa78da9668,4574942.632670726,3.5.1
chiller_electric_ashrae205.osm,22.2.0-aa78da9668,3134819.8218954685,3.5.1
lowtemprad_constflow.osm,22.2.0-aa78da9668,8970491.918979753,3.5.1
fuelcell.osm,22.2.0-aa78da9668,7455813.8135206485,3.5.1
generator_windturbine.rb,22.2.0-aa78da9668,2938782.806901065,3.5.1
zone_hvac_equipment_list.rb,22.2.0-aa78da9668,2980439.369338836,3.5.1
