,E+,SiteKBTU,OS
coilsystem_dxhx.rb,9.1.0-e46b7d9125,1156725.4918015758,2.8.1
solar_collector_flat_plate_water.rb,9.1.0-e46b7d9125,6115799.446992883,2.8.1
airterminal_fourpipebeam.rb,9.1.0-e46b7d9125,5964878.526925393,2.8.1
air_chillers.rb,9.1.0-e46b7d9125,12542530.30030455,2.8.1
baseline_sys02.osm,9.1.0-e46b7d9125,3972965.023217332,2.8.1
pv_and_storage_facilityexcess.osm,9.1.0-e46b7d9125,5626981.723533696,2.8.1
sql_wrap_nonleap,9.1.0-e46b7d9125,0.0,2.8.1
multiple_airloops.osm,9.1.0-e46b7d9125,13337180.173975235,2.8.1
utility_bill01.rb,9.1.0-e46b7d9125,5640184.816019661,2.8.1
adiabatic_construction_set.rb,9.1.0-e46b7d9125,1894534.7727670711,2.8.1
electric_equipment_ITE.rb,9.1.0-e46b7d9125,8028465.961271548,2.8.1
baseline_sys06.osm,9.1.0-e46b7d9125,6355436.0495217,2.8.1
heatexchanger_airtoair_sensibleandlatent.osm,9.1.0-e46b7d9125,3464679.1361069093,2.8.1
unitary_systems_airloop_and_zonehvac.rb,9.1.0-e46b7d9125,5636251.374970361,2.8.1
thermal_storage.rb,9.1.0-e46b7d9125,7822230.434062573,2.8.1
zone_control_contaminant_controller.osm,9.1.0-e46b7d9125,6759992.830985033,2.8.1
ems.osm,9.1.0-e46b7d9125,32510.127226746783,2.8.1
headered_pumps.rb,9.1.0-e46b7d9125,7690521.767023835,2.8.1
centralheatpumpsystem.osm,9.1.0-e46b7d9125,7692436.357606867,2.8.1
baseline_sys10.osm,9.1.0-e46b7d9125,5905469.349824156,2.8.1
unitary_systems_airloop_and_zonehvac.osm,9.1.0-e46b7d9125,5634090.351936046,2.8.1
moisture_settings.rb,9.1.0-e46b7d9125,5636876.934269767,2.8.1
water_heaters.osm,9.1.0-e46b7d9125,6287904.079699376,2.8.1
schedule_file.rb,9.1.0-e46b7d9125,6911548.788523132,2.8.1
plant_op_deltatemp_schemes.rb,9.1.0-e46b7d9125,2419303.1995997424,2.8.1
baseline_sys05.osm,9.1.0-e46b7d9125,6989146.576163183,2.8.1
sql_specific_fullyear_leap,9.1.0-e46b7d9125,0.0,2.8.1
air_chillers.osm,9.1.0-e46b7d9125,4336841.493876818,2.8.1
heatpump_hot_water.osm,9.1.0-e46b7d9125,4531049.221829017,2.8.1
plantloop_avms.rb,9.1.0-e46b7d9125,5633692.268745514,2.8.1
fuelcell.osm,9.1.0-e46b7d9125,7471282.188924162,2.8.1
cooling_coils.osm,9.1.0-e46b7d9125,8165577.185896073,2.8.1
unitary_system.osm,9.1.0-e46b7d9125,3674450.021174653,2.8.1
ducts_and_pipes.osm,9.1.0-e46b7d9125,5388766.84668535,2.8.1
ideal_plant.osm,9.1.0-e46b7d9125,7159232.358403408,2.8.1
space_load_instances.osm,9.1.0-e46b7d9125,4981868.956934842,2.8.1
centralheatpumpsystem.rb,9.1.0-e46b7d9125,7689706.644300365,2.8.1
heatexchanger_airtoair_sensibleandlatent.rb,9.1.0-e46b7d9125,3457779.0274710287,2.8.1
meters.rb,9.1.0-e46b7d9125,7822230.434062573,2.8.1
baseline_sys09.rb,9.1.0-e46b7d9125,6753680.368963746,2.8.1
multiple_loops_w_plenums.osm,9.1.0-e46b7d9125,6691806.867349692,2.8.1
