,E+,SiteKBTU,OS
baseline_sys06.osm,9.6.0-4b123cf80f,6354876.837420714,Transition
humidity_control.rb,9.6.0-4b123cf80f,7918604.478856031,Transition
zone_hvac_cooling_panel.rb,9.6.0-4b123cf80f,1045053.6786862605,Transition
water_economizer.rb,9.6.0-4b123cf80f,7873858.03260604,Transition
heatpump_varspeed.rb,9.6.0-4b123cf80f,1575945.004116156,Transition
swimmingpool_indoor.osm,9.6.0-4b123cf80f,11524735.8419985,Transition
schedule_fixed_interval.osm,9.6.0-4b123cf80f,4177693.5212050085,Transition
water_heaters.osm,9.6.0-4b123cf80f,6287420.692968016,Transition
baseline_sys08.osm,9.6.0-4b123cf80f,6541359.855842359,Transition
plenums.rb,9.6.0-4b123cf80f,5220263.919036048,Transition
elcd_no_generators.rb,9.6.0-4b123cf80f,1051195.5336258907,Transition
fan_systemmodel.rb,9.6.0-4b123cf80f,11925937.350855926,Transition
baseline_sys09.rb,9.6.0-4b123cf80f,6752855.768069074,Transition
humidity_control.osm,9.6.0-4b123cf80f,7918604.478856031,Transition
multi_stage.rb,9.6.0-4b123cf80f,2984505.50478498,Transition
unitary_system.rb,9.6.0-4b123cf80f,3821570.194589686,Transition
dist_ht_cl.osm,9.6.0-4b123cf80f,7575172.423481704,Transition
utility_bill02.rb,9.6.0-4b123cf80f,5643123.049092632,Transition
fan_componentmodel.rb,9.6.0-4b123cf80f,3923327.840626524,Transition
multi_stage.osm,9.6.0-4b123cf80f,2983974.7271976047,Transition
generator_microturbine.rb,9.6.0-4b123cf80f,48438298.19349532,Transition
foundation_kiva_customblocks.rb,9.6.0-4b123cf80f,4261926.028687253,Transition
unitary_systems_airloop_and_zonehvac.rb,9.6.0-4b123cf80f,5635502.599445313,Transition
pthp_othercoils.osm,9.6.0-4b123cf80f,3937061.7106998637,Transition
lowtemprad_electric.osm,9.6.0-4b123cf80f,2104419.3958892524,Transition
hightemprad.rb,9.6.0-4b123cf80f,4425917.346843864,Transition
shadowcalculation.osm,9.6.0-4b123cf80f,2938782.806901065,Transition
zone_hvac.osm,9.6.0-4b123cf80f,,Transition
lifecyclecostparameters.osm,9.6.0-4b123cf80f,162673.85235937464,Transition
dist_ht_cl.rb,9.6.0-4b123cf80f,7572584.882743249,Transition
heatpump_varspeed.osm,9.6.0-4b123cf80f,1575945.004116156,Transition
unitary_systems_airloop_and_zonehvac.osm,9.6.0-4b123cf80f,5633322.620068592,Transition
performanceprecisiontradeoffs.rb,9.6.0-4b123cf80f,4410951.314514116,Transition
zone_air_movement.osm,9.6.0-4b123cf80f,34213724.24062674,Transition
zone_air_movement.rb,9.6.0-4b123cf80f,34213724.24062674,Transition
solar_collector_integralcollectorstorage.rb,9.6.0-4b123cf80f,6264379.258773199,Transition
availability_managers.osm,9.6.0-4b123cf80f,4288948.2947873855,Transition
absorption_chillers.rb,9.6.0-4b123cf80f,7841594.337830574,Transition
plant_op_schemes.rb,9.6.0-4b123cf80f,7761996.656066663,Transition
infiltration.rb,9.6.0-4b123cf80f,1044617.6828109166,Transition
airterminal_fourpipebeam.rb,9.6.0-4b123cf80f,6122547.904889514,Transition
