,E+,SiteKBTU,OS
multiple_loops_w_plenums.rb,9.3.0-baff08990c,6690385.141669222,3.0.0
plant_op_deltatemp_schemes.osm,9.3.0-baff08990c,2419909.802556743,3.0.0
fan_systemmodel.rb,9.3.0-baff08990c,11964399.76959824,3.0.0
baseline_sys04.rb,9.3.0-baff08990c,4436333.856996107,3.0.0
space_load_instances.rb,9.3.0-baff08990c,4981442.439230702,3.0.0
absorption_chillers.rb,9.3.0-baff08990c,7841044.603900793,3.0.0
multiple_loops_w_plenums.osm,9.3.0-baff08990c,6690385.141669222,3.0.0
schedule_ruleset_2013.rb,9.3.0-baff08990c,6780598.375180644,3.0.0
plantloop_avms_temp.osm,9.3.0-baff08990c,7090913.700371224,3.0.0
zoneventilation_windandstackopenarea.rb,9.3.0-baff08990c,10637256.759564329,3.0.0
multi_stage.osm,9.3.0-baff08990c,2983093.257275713,3.0.0
tablemultivariablelookup.rb,9.3.0-baff08990c,6121865.476562888,3.0.0
zone_property_user_view_factors_by_surface_name.rb,9.3.0-baff08990c,3779354.4200509307,3.0.0
setpoint_managers.osm,9.3.0-baff08990c,8016172.773221085,3.0.0
availability_managers.rb,9.3.0-baff08990c,4291478.966498623,3.0.0
moisture_settings.rb,9.3.0-baff08990c,5636639.979989689,3.0.0
multiple_airloops.osm,9.3.0-baff08990c,13338203.816465173,3.0.0
schedule_ruleset_2013.osm,9.3.0-baff08990c,6780598.375180644,3.0.0
autosize_hvac.rb,9.3.0-baff08990c,0.0,3.0.0
lifecyclecostparameters.rb,9.3.0-baff08990c,166569.38072386238,3.0.0
dual_duct.osm,9.3.0-baff08990c,5384719.667581612,3.0.0
baseline_sys08.rb,9.3.0-baff08990c,6553018.006422213,3.0.0
zone_air_movement.osm,9.3.0-baff08990c,34213724.24062674,3.0.0
airloop_and_zonehvac.rb,9.3.0-baff08990c,3774349.9456556765,3.0.0
ExampleModel.rb,9.3.0-baff08990c,166569.38072386238,3.0.0
ducts_and_pipes.rb,9.3.0-baff08990c,5379620.411474327,3.0.0
zone_control_contaminant_controller.osm,9.3.0-baff08990c,6759338.837172016,3.0.0
airterminal_cooledbeam.osm,9.3.0-baff08990c,6202884.884007271,3.0.0
plant_op_temp_schemes.osm,9.3.0-baff08990c,2419909.802556743,3.0.0
output_objects.rb,9.3.0-baff08990c,1957014.8773381254,3.0.0
zone_fan_exhaust.rb,9.3.0-baff08990c,4184328.2410472017,3.0.0
refrigeration_system.osm,9.3.0-baff08990c,8173083.897488954,3.0.0
baseline_sys03.rb,9.3.0-baff08990c,7143309.0307821445,3.0.0
plant_op_schemes.rb,9.3.0-baff08990c,7761162.577000787,3.0.0
heatexchanger_airtoair_sensibleandlatent.rb,9.3.0-baff08990c,3457532.595019747,3.0.0
utility_bill02.rb,9.3.0-baff08990c,5643160.961777445,3.0.0
performanceprecisiontradeoffs.rb,9.3.0-baff08990c,4410894.445486898,3.0.0
zone_hvac2.osm,9.3.0-baff08990c,4224600.990489314,3.0.0
schedule_file.osm,9.3.0-baff08990c,6910875.838367709,3.0.0
roof_vegetation.rb,9.3.0-baff08990c,4741976.443783542,3.0.0
ducts_and_pipes.osm,9.3.0-baff08990c,5389496.665867992,3.0.0
zone_air_movement.rb,9.3.0-baff08990c,34213724.24062674,3.0.0
dsn_oa_w_ideal_loads.osm,9.3.0-baff08990c,6490926.506870488,3.0.0
fan_systemmodel.osm,9.3.0-baff08990c,11964399.76959824,3.0.0
pv_and_storage_facilityexcess.osm,9.3.0-baff08990c,5626270.860693461,3.0.0
exterior_equipment.osm,9.3.0-baff08990c,4922137.5220126975,3.0.0
foundation_kiva.osm,9.3.0-baff08990c,4266570.332576789,3.0.0
daylighting_no_shades.rb,9.3.0-baff08990c,5559023.236007231,3.0.0
pv_and_storage_facilityexcess.rb,9.3.0-baff08990c,5626270.860693461,3.0.0
vrf.rb,9.3.0-baff08990c,3807343.4596137833,3.0.0
electric_equipment_ITE.rb,9.3.0-baff08990c,7894672.09656812,3.0.0
lowtemprad_varflow.rb,9.3.0-baff08990c,2089235.3656218331,3.0.0
air_terminals.rb,9.3.0-baff08990c,8519530.011305878,3.0.0
multiple_airloops.rb,9.3.0-baff08990c,13338203.816465173,3.0.0
afn_single_zone_nv.osm,9.3.0-baff08990c,1044617.6828109166,3.0.0
