,E+,SiteKBTU,OS
baseline_sys06.osm,23.1.0-87ed9199d4,6354876.837420714,3.7.0-alpha
window_property_frame_and_divider.osm,23.1.0-87ed9199d4,1962066.7425893953,3.7.0-alpha
humidity_control.rb,23.1.0-87ed9199d4,7915817.89652231,3.7.0-alpha
zone_hvac_cooling_panel.rb,23.1.0-87ed9199d4,1045053.6786862605,3.7.0-alpha
water_economizer.rb,23.1.0-87ed9199d4,7873241.951477835,3.7.0-alpha
heatpump_varspeed.rb,23.1.0-87ed9199d4,1577177.1663725632,3.7.0-alpha
heatexchanger_desiccant_balancedflow.rb,23.1.0-87ed9199d4,5265455.839332588,3.7.0-alpha
swimmingpool_indoor.osm,23.1.0-87ed9199d4,11524508.365889626,3.7.0-alpha
schedule_fixed_interval.osm,23.1.0-87ed9199d4,4177693.5212050085,3.7.0-alpha
water_heaters.osm,23.1.0-87ed9199d4,6286207.487054015,3.7.0-alpha
baseline_sys08.osm,23.1.0-87ed9199d4,6541359.855842359,3.7.0-alpha
python_plugin.osm,23.1.0-87ed9199d4,1044617.6828109166,3.7.0-alpha
plenums.rb,23.1.0-87ed9199d4,5219685.750592657,3.7.0-alpha
elcd_no_generators.rb,23.1.0-87ed9199d4,1051195.5336258907,3.7.0-alpha
fan_systemmodel.rb,23.1.0-87ed9199d4,12016927.794406004,3.7.0-alpha
baseline_sys09.rb,23.1.0-87ed9199d4,6752855.768069074,3.7.0-alpha
humidity_control.osm,23.1.0-87ed9199d4,7918604.478856031,3.7.0-alpha
multi_stage.rb,23.1.0-87ed9199d4,2984505.50478498,3.7.0-alpha
unitary_system.rb,23.1.0-87ed9199d4,3818072.74941573,3.7.0-alpha
dist_ht_cl.osm,23.1.0-87ed9199d4,7575172.423481704,3.7.0-alpha
utility_bill02.rb,23.1.0-87ed9199d4,7077085.048585853,3.7.0-alpha
fan_componentmodel.rb,23.1.0-87ed9199d4,3923185.6680584773,3.7.0-alpha
multi_stage.osm,23.1.0-87ed9199d4,2983974.7271976047,3.7.0-alpha
airterminal_inletsidemixer.rb,23.1.0-87ed9199d4,3363840.872676776,3.7.0-alpha
generator_microturbine.rb,23.1.0-87ed9199d4,55742290.66068418,3.7.0-alpha
foundation_kiva_customblocks.rb,23.1.0-87ed9199d4,6342934.341704766,3.7.0-alpha
unitary_systems_airloop_and_zonehvac.rb,23.1.0-87ed9199d4,7293452.740810977,3.7.0-alpha
pthp_othercoils.osm,23.1.0-87ed9199d4,3935203.9891440496,3.7.0-alpha
lowtemprad_electric.osm,23.1.0-87ed9199d4,2104419.3958892524,3.7.0-alpha
solar_collector_flat_plate_photovoltaicthermal_bipvt.rb,23.1.0-87ed9199d4,4247794.075423381,3.7.0-alpha
hightemprad.rb,23.1.0-87ed9199d4,4425917.346843864,3.7.0-alpha
shadowcalculation.osm,23.1.0-87ed9199d4,2938782.806901065,3.7.0-alpha
zone_hvac.osm,23.1.0-87ed9199d4,,3.7.0-alpha
lifecyclecostparameters.osm,23.1.0-87ed9199d4,162673.85235937464,3.7.0-alpha
dist_ht_cl.rb,23.1.0-87ed9199d4,7572584.882743249,3.7.0-alpha
surface_properties_ground_and_solarmult.rb,23.1.0-87ed9199d4,2576157.4548403933,3.7.0-alpha
heatpump_varspeed.osm,23.1.0-87ed9199d4,1577177.1663725632,3.7.0-alpha
unitary_systems_airloop_and_zonehvac.osm,23.1.0-87ed9199d4,5631768.199991278,3.7.0-alpha
performanceprecisiontradeoffs.rb,23.1.0-87ed9199d4,4410951.314514116,3.7.0-alpha
zone_air_movement.osm,23.1.0-87ed9199d4,34213724.24062674,3.7.0-alpha
zone_air_movement.rb,23.1.0-87ed9199d4,34212188.77689183,3.7.0-alpha
solar_collector_integralcollectorstorage.rb,23.1.0-87ed9199d4,7712131.997366978,3.7.0-alpha
availability_managers.osm,23.1.0-87ed9199d4,4288948.2947873855,3.7.0-alpha
absorption_chillers.rb,23.1.0-87ed9199d4,7840703.389737479,3.7.0-alpha
plant_op_schemes.rb,23.1.0-87ed9199d4,7761532.225677709,3.7.0-alpha
infiltration.rb,23.1.0-87ed9199d4,1044617.6828109166,3.7.0-alpha
airterminal_fourpipebeam.rb,23.1.0-87ed9199d4,6122472.079519889,3.7.0-alpha
schedule_fixed_interval_schedulefile.rb,23.1.0-87ed9199d4,4248485.981921211,3.7.0-alpha
plant_op_schemes.osm,23.1.0-87ed9199d4,7761532.225677709,3.7.0-alpha
setpoint_manager_systemnodereset.rb,23.1.0-87ed9199d4,3192958.924055488,3.7.0-alpha
unitary_test.osm,23.1.0-87ed9199d4,2120361.679852922,3.7.0-alpha
schedule_file.osm,23.1.0-87ed9199d4,6910856.882025303,3.7.0-alpha
multiple_loops_w_plenums.osm,23.1.0-87ed9199d4,6491381.459088239,3.7.0-alpha
doas_coil_cooling_dx_two_speed.osm,23.1.0-87ed9199d4,3386759.0906459517,3.7.0-alpha
meters.osm,23.1.0-87ed9199d4,7822789.646163558,3.7.0-alpha
photovoltaics_sandia.rb,23.1.0-87ed9199d4,1957052.7900229378,3.7.0-alpha
zone_mixing.osm,23.1.0-87ed9199d4,1044617.6828109166,3.7.0-alpha
baseline_sys07.osm,23.1.0-87ed9199d4,7567627.7992040105,3.7.0-alpha
