,E+,SiteKBTU,OS
solar_collector_flat_plate_water.rb,9.0.0-2ef880da82,6115799.446992883,2.7.0
airterminal_fourpipebeam.rb,9.0.0-2ef880da82,5964878.526925393,2.7.0
air_chillers.rb,9.0.0-2ef880da82,12542880.992639067,2.7.0
baseline_sys02.osm,9.0.0-2ef880da82,3972965.023217332,2.7.0
pv_and_storage_facilityexcess.osm,9.0.0-2ef880da82,5626981.723533696,2.7.0
multiple_airloops.osm,9.0.0-2ef880da82,13323626.389154755,2.7.0
utility_bill01.rb,9.0.0-2ef880da82,5640184.816019661,2.7.0
baseline_sys06.osm,9.0.0-2ef880da82,6355436.0495217,2.7.0
heatexchanger_airtoair_sensibleandlatent.osm,9.0.0-2ef880da82,3464679.1361069093,2.7.0
unitary_systems_airloop_and_zonehvac.rb,9.0.0-2ef880da82,5662837.645195149,2.7.0
thermal_storage.rb,9.0.0-2ef880da82,7822315.737603401,2.7.0
zone_control_contaminant_controller.osm,9.0.0-2ef880da82,6759992.830985033,2.7.0
ems.osm,9.0.0-2ef880da82,32510.127226746783,2.7.0
headered_pumps.rb,9.0.0-2ef880da82,7690493.3325102255,2.7.0
centralheatpumpsystem.osm,9.0.0-2ef880da82,7706900.046862849,2.7.0
baseline_sys10.osm,9.0.0-2ef880da82,5905469.349824156,2.7.0
unitary_systems_airloop_and_zonehvac.osm,9.0.0-2ef880da82,5636061.811546298,2.7.0
moisture_settings.rb,9.0.0-2ef880da82,5636876.934269767,2.7.0
water_heaters.osm,9.0.0-2ef880da82,6288235.815691485,2.7.0
schedule_file.rb,9.0.0-2ef880da82,6911548.788523132,2.7.0
plant_op_deltatemp_schemes.rb,9.0.0-2ef880da82,2419388.5031405706,2.7.0
baseline_sys05.osm,9.0.0-2ef880da82,6989146.576163183,2.7.0
air_chillers.osm,9.0.0-2ef880da82,4336841.493876818,2.7.0
heatpump_hot_water.osm,9.0.0-2ef880da82,4531020.787315407,2.7.0
plantloop_avms.rb,9.0.0-2ef880da82,5633692.268745514,2.7.0
fuelcell.osm,9.0.0-2ef880da82,58175033.90704997,2.7.0
cooling_coils.osm,9.0.0-2ef880da82,8165643.533094494,2.7.0
unitary_system.osm,9.0.0-2ef880da82,3674450.021174653,2.7.0
schedule_ruleset_2013.rb,9.0.0-2ef880da82,6781242.890822457,2.7.0
ducts_and_pipes.osm,9.0.0-2ef880da82,5388899.541082194,2.7.0
ideal_plant.osm,9.0.0-2ef880da82,7159232.358403408,2.7.0
space_load_instances.osm,9.0.0-2ef880da82,4981868.956934842,2.7.0
