,E+,SiteKBTU,OS
baseline_sys06.osm,24.1.0-9d7789a3ac,6356962.035085403,Transition
window_property_frame_and_divider.osm,24.1.0-9d7789a3ac,1965459.9278801167,Transition
humidity_control.rb,24.1.0-9d7789a3ac,7921770.188037878,Transition
zone_hvac_cooling_panel.rb,24.1.0-9d7789a3ac,1045034.7223438543,Transition
water_economizer.rb,24.1.0-9d7789a3ac,7879146.852137389,Transition
heatpump_varspeed.rb,24.1.0-9d7789a3ac,1578816.8899907053,Transition
heatexchanger_desiccant_balancedflow.rb,24.1.0-9d7789a3ac,5271701.954155452,Transition
swimmingpool_indoor.osm,24.1.0-9d7789a3ac,11497116.45111257,Transition
schedule_fixed_interval.osm,24.1.0-9d7789a3ac,4177930.475485087,Transition
water_heaters.osm,24.1.0-9d7789a3ac,6302614.201406638,Transition
baseline_sys08.osm,24.1.0-9d7789a3ac,6543416.61899344,Transition
python_plugin.osm,,,Transition
plenums.rb,24.1.0-9d7789a3ac,5222557.636467207,Transition
elcd_no_generators.rb,24.1.0-9d7789a3ac,1051195.5336258907,Transition
fan_systemmodel.rb,24.1.0-9d7789a3ac,12020311.501525521,Transition
baseline_sys09.rb,24.1.0-9d7789a3ac,6755831.913826857,Transition
humidity_control.osm,24.1.0-9d7789a3ac,7924443.032317162,Transition
multi_stage.rb,24.1.0-9d7789a3ac,2979548.421245741,Transition
unitary_system.rb,24.1.0-9d7789a3ac,3822622.2715932336,Transition
dist_ht_cl.osm,24.1.0-9d7789a3ac,7577020.6668663155,Transition
utility_bill02.rb,24.1.0-9d7789a3ac,7081170.1403744025,Transition
fan_componentmodel.rb,24.1.0-9d7789a3ac,3924588.4373965403,Transition
multi_stage.osm,24.1.0-9d7789a3ac,2980363.5439692107,Transition
airterminal_inletsidemixer.rb,24.1.0-9d7789a3ac,3364030.4361008382,Transition
generator_microturbine.rb,24.1.0-9d7789a3ac,55756631.13371452,Transition
foundation_kiva_customblocks.rb,24.1.0-9d7789a3ac,6379861.296712173,Transition
unitary_systems_airloop_and_zonehvac.rb,24.1.0-9d7789a3ac,7295452.634934838,Transition
pthp_othercoils.osm,24.1.0-9d7789a3ac,3941165.75883082,Transition
lowtemprad_electric.osm,24.1.0-9d7789a3ac,2104267.745150002,Transition
solar_collector_flat_plate_photovoltaicthermal_bipvt.rb,24.1.0-9d7789a3ac,4249575.971609571,Transition
hightemprad.rb,24.1.0-9d7789a3ac,4425301.26571566,Transition
shadowcalculation.osm,24.1.0-9d7789a3ac,2940905.9172505676,Transition
zone_hvac.osm,24.1.0-9d7789a3ac,3878344.4400964538,Transition
lifecyclecostparameters.osm,24.1.0-9d7789a3ac,162673.85235937464,Transition
dist_ht_cl.rb,24.1.0-9d7789a3ac,7575911.720835549,Transition
surface_properties_ground_and_solarmult.rb,24.1.0-9d7789a3ac,2582024.4428151324,Transition
heatpump_varspeed.osm,24.1.0-9d7789a3ac,1578816.8899907053,Transition
unitary_systems_airloop_and_zonehvac.osm,24.1.0-9d7789a3ac,5648184.392515104,Transition
performanceprecisiontradeoffs.rb,24.1.0-9d7789a3ac,4411842.26260721,Transition
zone_air_movement.osm,24.1.0-9d7789a3ac,34216814.124438964,Transition
zone_air_movement.rb,24.1.0-9d7789a3ac,34215288.13887525,Transition
solar_collector_integralcollectorstorage.rb,24.1.0-9d7789a3ac,7716236.045497935,Transition
availability_managers.osm,24.1.0-9d7789a3ac,4286247.015994493,Transition
absorption_chillers.rb,24.1.0-9d7789a3ac,7842864.412771794,Transition
plant_op_schemes.rb,24.1.0-9d7789a3ac,7763702.726883226,Transition
infiltration.rb,24.1.0-9d7789a3ac,1044617.6828109166,Transition
airterminal_fourpipebeam.rb,24.1.0-9d7789a3ac,6122822.771854405,Transition
schedule_fixed_interval_schedulefile.rb,24.1.0-9d7789a3ac,4248978.846823773,Transition
plant_op_schemes.osm,24.1.0-9d7789a3ac,7763702.726883226,Transition
setpoint_manager_systemnodereset.rb,24.1.0-9d7789a3ac,3194352.215222348,Transition
unitary_test.osm,24.1.0-9d7789a3ac,2123214.6093850653,Transition
schedule_file.osm,24.1.0-9d7789a3ac,6913264.337510899,Transition
multiple_loops_w_plenums.osm,24.1.0-9d7789a3ac,6491343.546403426,Transition
doas_coil_cooling_dx_two_speed.osm,24.1.0-9d7789a3ac,3386759.0906459517,Transition
meters.osm,24.1.0-9d7789a3ac,7824988.5818826845,Transition
photovoltaics_sandia.rb,24.1.0-9d7789a3ac,1960493.3661696748,Transition
zone_mixing.osm,24.1.0-9d7789a3ac,1044617.6828109166,Transition
baseline_sys07.osm,24.1.0-9d7789a3ac,7567390.844923932,Transition
foundation_kiva.osm,24.1.0-9d7789a3ac,4619518.471839062,Transition
chiller_electric_ashrae205.osm,24.1.0-9d7789a3ac,3136905.0195601583,Transition
lowtemprad_constflow.osm,24.1.0-9d7789a3ac,9002253.27068145,Transition
fuelcell.osm,24.1.0-9d7789a3ac,7460401.248382965,Transition
generator_windturbine.rb,24.1.0-9d7789a3ac,2940905.9172505676,Transition
outputcontrol_timestamp.rb,24.1.0-9d7789a3ac,1960445.9753136593,Transition
zone_hvac_equipment_list.rb,24.1.0-9d7789a3ac,2984856.197119496,Transition
surfacecontrol_moveableinsulation.osm,24.1.0-9d7789a3ac,2952573.5460016243,Transition
zone_property_user_view_factors_by_surface_name.rb,24.1.0-9d7789a3ac,4511164.018644843,Transition
doas_heatexchanger_airtoair_sensibleandlatent.osm,24.1.0-9d7789a3ac,3284698.1431306135,Transition
coilsystem_waterhx.rb,24.1.0-9d7789a3ac,4186347.0915134693,Transition
air_chillers.rb,24.1.0-9d7789a3ac,12543866.722444192,Transition
baseline_sys05.rb,24.1.0-9d7789a3ac,7416744.791821334,Transition
utility_bill01.osm,24.1.0-9d7789a3ac,5653909.207921797,Transition
shadingcontrol_singlezone.rb,24.1.0-9d7789a3ac,6468169.417811765,Transition
ghx_horizontal_trench_kusuda.rb,24.1.0-9d7789a3ac,729.8191826412543,Transition
unitary_vav_bypass_coiltypes.rb,24.1.0-9d7789a3ac,2364509.89187443,Transition
transformer.rb,24.1.0-9d7789a3ac,7085198.363135735,Transition
daylighting_devices,,,Transition
storage_liion_battery.rb,24.1.0-9d7789a3ac,,Transition
utility_bill01.rb,24.1.0-9d7789a3ac,7082610.82239728,Transition
baseline_sys02.osm,24.1.0-9d7789a3ac,3957126.9991368963,Transition
phase_change.rb,24.1.0-9d7789a3ac,2740935.4612068636,Transition
setpoint_manager_systemnodereset.osm,24.1.0-9d7789a3ac,3194352.215222348,Transition
generator_microturbine.osm,24.1.0-9d7789a3ac,48482570.73118515,Transition
sizing_zone_dszad.rb,24.1.0-9d7789a3ac,2940905.9172505676,Transition
shadowcalculation.rb,24.1.0-9d7789a3ac,2940905.9172505676,Transition
epw_design_conditions.osm,24.1.0-9d7789a3ac,5648127.523487886,Transition
absorption_chillers.osm,24.1.0-9d7789a3ac,7842864.412771794,Transition
plant_op_deltatemp_schemes.rb,24.1.0-9d7789a3ac,3080699.4643255784,Transition
vrf_watercooled.rb,24.1.0-9d7789a3ac,7336692.15783967,Transition
fluid_coolers.rb,24.1.0-9d7789a3ac,5309510.37908475,Transition
vrf.rb,24.1.0-9d7789a3ac,3812982.9714796473,Transition
electric_equipment_ITE.osm,24.1.0-9d7789a3ac,7890899.784429274,Transition
daylighting_shades.rb,24.1.0-9d7789a3ac,7114154.176161307,Transition
roof_vegetation.osm,24.1.0-9d7789a3ac,4762818.9422592325,Transition
zone_control_contaminant_controller.osm,24.1.0-9d7789a3ac,6764324.355224865,Transition
airloop_and_zonehvac.osm,24.1.0-9d7789a3ac,5682192.070791947,Transition
zone_hvac_equipment_list.osm,24.1.0-9d7789a3ac,2984856.197119496,Transition
photovoltaics_sandia.osm,24.1.0-9d7789a3ac,1960493.3661696748,Transition
headered_pumps.osm,24.1.0-9d7789a3ac,7695649.45764473,Transition
autosize_hvac.rb,24.1.0-9d7789a3ac,0.0,Transition
roof_vegetation.rb,24.1.0-9d7789a3ac,4762818.9422592325,Transition
ems_scott.osm,24.1.0-9d7789a3ac,,Transition
fuelcell.rb,24.1.0-9d7789a3ac,7458827.871963244,Transition
coil_waterheating_desuperheater.rb,24.1.0-9d7789a3ac,2656077.3944252124,Transition
ems_1floor_SpaceType_1space.osm,24.1.0-9d7789a3ac,4510623.762886264,Transition
output_objects_2.osm,24.1.0-9d7789a3ac,1960445.9753136593,Transition
