,E+,SiteKBTU,OS
ems_scott.osm,,,Transition
design_day.osm,23.2.0-7636e6b3e9,1044617.6828109166,Transition
performanceprecisiontradeoffs.rb,23.2.0-7636e6b3e9,4410951.314514116,Transition
heatpump_airtowater_fuelfired.osm,23.2.0-7636e6b3e9,2097197.0294324644,Transition
outputcontrol_timestamp.osm,23.2.0-7636e6b3e9,1957005.3991669219,Transition
exterior_equipment.rb,23.2.0-7636e6b3e9,4922109.087499089,Transition
dsn_oa_w_ideal_loads.rb,23.2.0-7636e6b3e9,6487931.404770298,Transition
electric_equipment_ITE.rb,23.2.0-7636e6b3e9,7890245.790616257,Transition
tablelookup.osm,23.2.0-7636e6b3e9,2244544.678956373,Transition
setpoint_manager_systemnodereset.osm,23.2.0-7636e6b3e9,3192958.924055488,Transition
heatpump_plantloop_eir.rb,23.2.0-7636e6b3e9,1662736.6178232464,Transition
doas_coil_cooling_dx_two_speed.osm,23.2.0-7636e6b3e9,3386759.0906459517,Transition
baseline_sys08.rb,23.2.0-7636e6b3e9,6553387.655099135,Transition
doas.rb,23.2.0-7636e6b3e9,5717280.260585946,Transition
coilsystem_dxhx.rb,23.2.0-7636e6b3e9,1159066.6000887495,Transition
performanceprecisiontradeoffs.osm,23.2.0-7636e6b3e9,4410951.314514116,Transition
swimmingpool_indoor.rb,23.2.0-7636e6b3e9,11524508.365889626,Transition
transformer.osm,23.2.0-7636e6b3e9,5631720.809135263,Transition
airterminal_fourpipebeam.osm,23.2.0-7636e6b3e9,6122472.079519889,Transition
heatexchanger_desiccant_balancedflow.osm,23.2.0-7636e6b3e9,5265455.839332588,Transition
coil_waterheating_desuperheater.osm,23.2.0-7636e6b3e9,2659603.2741127783,Transition
dual_duct.osm,23.2.0-7636e6b3e9,5385269.401511394,Transition
schedule_ruleset_2012_NonLeapYear.osm,23.2.0-7636e6b3e9,6791820.529885153,Transition
refrigeration_system.rb,23.2.0-7636e6b3e9,8599819.59956762,Transition
pv_and_storage_demandleveling.rb,23.2.0-7636e6b3e9,7093738.195389758,Transition
zone_property_user_view_factors_by_surface_name.rb,23.2.0-7636e6b3e9,4509780.205649186,Transition
infiltration.osm,23.2.0-7636e6b3e9,1044617.6828109166,Transition
airterminal_inletsidemixer.rb,23.2.0-7636e6b3e9,3363840.872676776,Transition
coil_cooling_dx.osm,23.2.0-7636e6b3e9,1096245.2813543826,Transition
autosize_hvac.rb,23.2.0-7636e6b3e9,0.0,Transition
space_load_instances.osm,23.2.0-7636e6b3e9,4981423.482888296,Transition
baseline_sys09.rb,23.2.0-7636e6b3e9,6752855.768069074,Transition
