,E+,SiteKBTU,OS
baseline_sys06.osm,23.1.0-ff86a13c18,6354876.837420714,Transition
window_property_frame_and_divider.osm,23.1.0-ff86a13c18,1962066.7425893953,Transition
humidity_control.rb,23.1.0-ff86a13c18,7918604.478856031,Transition
zone_hvac_cooling_panel.rb,23.1.0-ff86a13c18,1045053.6786862605,Transition
water_economizer.rb,23.1.0-ff86a13c18,7873241.951477835,Transition
heatpump_varspeed.rb,23.1.0-ff86a13c18,1577177.1663725632,Transition
heatexchanger_desiccant_balancedflow.rb,23.1.0-ff86a13c18,5265455.839332588,Transition
swimmingpool_indoor.osm,23.1.0-ff86a13c18,11524508.365889626,Transition
schedule_fixed_interval.osm,23.1.0-ff86a13c18,4177693.5212050085,Transition
water_heaters.osm,23.1.0-ff86a13c18,6286207.487054015,Transition
baseline_sys08.osm,23.1.0-ff86a13c18,6541359.855842359,Transition
python_plugin.osm,23.1.0-ff86a13c18,1044617.6828109166,Transition
plenums.rb,23.1.0-ff86a13c18,5219685.750592657,Transition
elcd_no_generators.rb,23.1.0-ff86a13c18,1051195.5336258907,Transition
fan_systemmodel.rb,23.1.0-ff86a13c18,12016463.36401705,Transition
baseline_sys09.rb,23.1.0-ff86a13c18,6752855.768069074,Transition
humidity_control.osm,23.1.0-ff86a13c18,7918604.478856031,Transition
multi_stage.rb,23.1.0-ff86a13c18,2984505.50478498,Transition
unitary_system.rb,23.1.0-ff86a13c18,3813523.227238226,Transition
dist_ht_cl.osm,23.1.0-ff86a13c18,7575172.423481704,Transition
utility_bill02.rb,23.1.0-ff86a13c18,7077085.048585853,Transition
fan_componentmodel.rb,23.1.0-ff86a13c18,3923185.6680584773,Transition
multi_stage.osm,23.1.0-ff86a13c18,2983974.7271976047,Transition
airterminal_inletsidemixer.rb,23.1.0-ff86a13c18,3363840.872676776,Transition
generator_microturbine.rb,23.1.0-ff86a13c18,55742290.66068418,Transition
foundation_kiva_customblocks.rb,23.1.0-ff86a13c18,6342934.341704766,Transition
unitary_systems_airloop_and_zonehvac.rb,23.1.0-ff86a13c18,7293452.740810977,Transition
pthp_othercoils.osm,23.1.0-ff86a13c18,3935203.9891440496,Transition
lowtemprad_electric.osm,23.1.0-ff86a13c18,2104419.3958892524,Transition
hightemprad.rb,23.1.0-ff86a13c18,4425917.346843864,Transition
shadowcalculation.osm,23.1.0-ff86a13c18,2938782.806901065,Transition
zone_hvac.osm,23.1.0-ff86a13c18,,Transition
lifecyclecostparameters.osm,23.1.0-ff86a13c18,162673.85235937464,Transition
dist_ht_cl.rb,23.1.0-ff86a13c18,7572584.882743249,Transition
surface_properties_ground_and_solarmult.rb,23.1.0-ff86a13c18,2576157.4548403933,Transition
heatpump_varspeed.osm,23.1.0-ff86a13c18,1577177.1663725632,Transition
unitary_systems_airloop_and_zonehvac.osm,23.1.0-ff86a13c18,5631768.199991278,Transition
performanceprecisiontradeoffs.rb,23.1.0-ff86a13c18,4410951.314514116,Transition
zone_air_movement.osm,23.1.0-ff86a13c18,34213724.24062674,Transition
zone_air_movement.rb,23.1.0-ff86a13c18,34213724.24062674,Transition
solar_collector_integralcollectorstorage.rb,23.1.0-ff86a13c18,7712131.997366978,Transition
availability_managers.osm,23.1.0-ff86a13c18,4288948.2947873855,Transition
absorption_chillers.rb,23.1.0-ff86a13c18,7840703.389737479,Transition
plant_op_schemes.rb,23.1.0-ff86a13c18,7761532.225677709,Transition
infiltration.rb,23.1.0-ff86a13c18,1044617.6828109166,Transition
airterminal_fourpipebeam.rb,23.1.0-ff86a13c18,6122472.079519889,Transition
schedule_fixed_interval_schedulefile.rb,23.1.0-ff86a13c18,4248485.981921211,Transition
plant_op_schemes.osm,23.1.0-ff86a13c18,7761532.225677709,Transition
setpoint_manager_systemnodereset.rb,23.1.0-ff86a13c18,3192958.924055488,Transition
unitary_test.osm,23.1.0-ff86a13c18,2120361.679852922,Transition
schedule_file.osm,23.1.0-ff86a13c18,6910856.882025303,Transition
multiple_loops_w_plenums.osm,23.1.0-ff86a13c18,6491381.459088239,Transition
doas_coil_cooling_dx_two_speed.osm,23.1.0-ff86a13c18,3386759.0906459517,Transition
meters.osm,23.1.0-ff86a13c18,7822789.646163558,Transition
photovoltaics_sandia.rb,23.1.0-ff86a13c18,1957052.7900229378,Transition
zone_mixing.osm,23.1.0-ff86a13c18,1044617.6828109166,Transition
baseline_sys07.osm,23.1.0-ff86a13c18,7567627.7992040105,Transition
foundation_kiva.osm,23.1.0-ff86a13c18,4574942.632670726,Transition
chiller_electric_ashrae205.osm,23.1.0-ff86a13c18,3134819.8218954685,Transition
lowtemprad_constflow.osm,23.1.0-ff86a13c18,8970491.918979753,Transition
fuelcell.osm,23.1.0-ff86a13c18,7455813.8135206485,Transition
generator_windturbine.rb,23.1.0-ff86a13c18,2938782.806901065,Transition
zone_hvac_equipment_list.rb,23.1.0-ff86a13c18,2980439.369338836,Transition
surfacecontrol_moveableinsulation.osm,23.1.0-ff86a13c18,2950403.044796107,Transition
zone_property_user_view_factors_by_surface_name.rb,23.1.0-ff86a13c18,4509780.205649186,Transition
doas_heatexchanger_airtoair_sensibleandlatent.osm,23.1.0-ff86a13c18,3284698.1431306135,Transition
coilsystem_waterhx.rb,23.1.0-ff86a13c18,4185731.010385266,Transition
air_chillers.rb,23.1.0-ff86a13c18,12543800.37524577,Transition
baseline_sys05.rb,23.1.0-ff86a13c18,7414479.508903784,Transition
utility_bill01.osm,23.1.0-ff86a13c18,5638308.13812144,Transition
shadingcontrol_singlezone.rb,23.1.0-ff86a13c18,6474216.491039364,Transition
ghx_horizontal_trench_kusuda.rb,23.1.0-ff86a13c18,729.8191826412543,Transition
unitary_vav_bypass_coiltypes.rb,23.1.0-ff86a13c18,2361334.7045213804,Transition
transformer.rb,23.1.0-ff86a13c18,7081094.315004778,Transition
storage_liion_battery.rb,23.1.0-ff86a13c18,,Transition
utility_bill01.rb,23.1.0-ff86a13c18,7078440.4270679,Transition
baseline_sys02.osm,23.1.0-ff86a13c18,3953828.5955582066,Transition
phase_change.rb,23.1.0-ff86a13c18,2740793.2886388167,Transition
setpoint_manager_systemnodereset.osm,23.1.0-ff86a13c18,3192958.924055488,Transition
generator_microturbine.osm,23.1.0-ff86a13c18,48424497.97622356,Transition
sizing_zone_dszad.rb,23.1.0-ff86a13c18,2938782.806901065,Transition
shadowcalculation.rb,23.1.0-ff86a13c18,2938782.806901065,Transition
epw_design_conditions.osm,23.1.0-ff86a13c18,5631720.809135263,Transition
absorption_chillers.osm,23.1.0-ff86a13c18,7840703.389737479,Transition
plant_op_deltatemp_schemes.rb,23.1.0-ff86a13c18,3079761.1253764685,Transition
vrf_watercooled.rb,23.1.0-ff86a13c18,7333507.492315418,Transition
fluid_coolers.rb,23.1.0-ff86a13c18,5310477.15254747,Transition
vrf.rb,23.1.0-ff86a13c18,3811760.287394443,Transition
electric_equipment_ITE.osm,23.1.0-ff86a13c18,7890245.790616257,Transition
daylighting_shades.rb,23.1.0-ff86a13c18,7110050.12803035,Transition
roof_vegetation.osm,23.1.0-ff86a13c18,4757643.860782322,Transition
zone_control_contaminant_controller.osm,23.1.0-ff86a13c18,6759319.88082961,Transition
airloop_and_zonehvac.osm,23.1.0-ff86a13c18,5678078.544489787,Transition
zone_hvac_equipment_list.osm,23.1.0-ff86a13c18,2980439.369338836,Transition
photovoltaics_sandia.osm,23.1.0-ff86a13c18,1957052.7900229378,Transition
headered_pumps.osm,23.1.0-ff86a13c18,7693829.648773729,Transition
roof_vegetation.rb,23.1.0-ff86a13c18,4757643.860782322,Transition
ems_scott.osm,23.1.0-ff86a13c18,29097.98559361884,Transition
fuelcell.rb,23.1.0-ff86a13c18,7455813.8135206485,Transition
coil_waterheating_desuperheater.rb,23.1.0-ff86a13c18,2660996.5652796384,Transition
ems_1floor_SpaceType_1space.osm,23.1.0-ff86a13c18,4510671.153742281,Transition
output_objects_2.osm,23.1.0-ff86a13c18,1957005.3991669219,Transition
afn_single_zone_nv.osm,23.1.0-ff86a13c18,1044617.6828109166,Transition
heatpump_hot_water.osm,23.1.0-ff86a13c18,4530736.442179314,Transition
daylighting_no_shades.osm,23.1.0-ff86a13c18,5557392.990560292,Transition
coilsystem_dxhx.osm,23.1.0-ff86a13c18,1159066.6000887495,Transition
multiple_airloops.rb,23.1.0-ff86a13c18,13204770.122267466,Transition
multiple_airloops.osm,23.1.0-ff86a13c18,13204770.122267466,Transition
afn_single_zone_nv.rb,23.1.0-ff86a13c18,1044617.6828109166,Transition
centralheatpumpsystem.rb,23.1.0-ff86a13c18,7711278.961958696,Transition
fan_on_off.rb,23.1.0-ff86a13c18,8519994.441694831,Transition
lowtemprad_varflow.rb,23.1.0-ff86a13c18,2089235.3656218331,Transition
thermal_storage.osm,23.1.0-ff86a13c18,7822789.646163558,Transition
baseline_sys07.rb,23.1.0-ff86a13c18,7822789.646163558,Transition
daylighting_devices.osm,23.1.0-ff86a13c18,2938204.638457674,Transition
space_load_instances.osm,23.1.0-ff86a13c18,4981423.482888296,Transition
ems.rb,23.1.0-ff86a13c18,7081094.315004778,Transition
scheduled_infiltration.osm,23.1.0-ff86a13c18,745657.2067216899,Transition
unitary_vav_bypass.rb,23.1.0-ff86a13c18,4587548.600370893,Transition
refrigeration_system_2.osm,23.1.0-ff86a13c18,3679103.803235391,Transition
