,E+,SiteKBTU,OS
coilsystem_dxhx.rb,9.2.0-d67e9e635f,1156753.9263151851,2.9.0
solar_collector_flat_plate_water.rb,9.2.0-d67e9e635f,6115031.715125429,2.9.0
airterminal_fourpipebeam.rb,9.2.0-d67e9e635f,6121495.827885967,2.9.0
air_chillers.rb,9.2.0-d67e9e635f,12542435.518592518,2.9.0
baseline_sys02.osm,9.2.0-d67e9e635f,3972699.6344236447,2.9.0
pv_and_storage_facilityexcess.osm,9.2.0-d67e9e635f,5626242.426179851,2.9.0
sql_wrap_nonleap,9.2.0-d67e9e635f,0.0,2.9.0
multiple_airloops.osm,9.2.0-d67e9e635f,13336488.267477406,2.9.0
utility_bill01.rb,9.2.0-d67e9e635f,5639454.996837019,2.9.0
adiabatic_construction_set.rb,9.2.0-d67e9e635f,1894449.469226243,2.9.0
electric_equipment_ITE.rb,9.2.0-d67e9e635f,8028418.570415533,2.9.0
baseline_sys06.osm,9.2.0-d67e9e635f,6354848.402907105,2.9.0
heatexchanger_airtoair_sensibleandlatent.osm,9.2.0-d67e9e635f,3464461.1381692374,2.9.0
unitary_systems_airloop_and_zonehvac.rb,9.2.0-d67e9e635f,5635512.077616516,2.9.0
thermal_storage.rb,9.2.0-d67e9e635f,7821794.438187229,2.9.0
zone_control_contaminant_controller.osm,9.2.0-d67e9e635f,6759329.359000813,2.9.0
ems.osm,9.2.0-d67e9e635f,32500.64905554365,2.9.0
headered_pumps.rb,9.2.0-d67e9e635f,7690190.031031725,2.9.0
centralheatpumpsystem.osm,9.2.0-d67e9e635f,7687801.531888536,2.9.0
baseline_sys10.osm,9.2.0-d67e9e635f,5904834.312353545,2.9.0
unitary_systems_airloop_and_zonehvac.osm,9.2.0-d67e9e635f,5633351.054582202,2.9.0
moisture_settings.rb,9.2.0-d67e9e635f,5636137.636915922,2.9.0
unitary_vav_bypass_plenum.rb,9.2.0-d67e9e635f,3798358.153313213,2.9.0
water_heaters.osm,9.2.0-d67e9e635f,6287449.1274816245,2.9.0
schedule_file.rb,9.2.0-d67e9e635f,6910875.838367709,2.9.0
plant_op_deltatemp_schemes.rb,9.2.0-d67e9e635f,2419322.1559421485,2.9.0
baseline_sys05.osm,9.2.0-d67e9e635f,6988682.145774229,2.9.0
sql_specific_fullyear_leap,9.2.0-d67e9e635f,0.0,2.9.0
air_chillers.osm,9.2.0-d67e9e635f,4224591.512318112,2.9.0
heatpump_hot_water.osm,9.2.0-d67e9e635f,4530793.311206532,2.9.0
plantloop_avms.rb,9.2.0-d67e9e635f,5632952.9713916695,2.9.0
fuelcell.osm,9.2.0-d67e9e635f,7470618.716939942,2.9.0
cooling_coils.osm,9.2.0-d67e9e635f,8165055.8864799,2.9.0
unitary_system.osm,9.2.0-d67e9e635f,3806461.989691892,2.9.0
schedule_ruleset_2013.rb,9.2.0-d67e9e635f,6780579.418838238,2.9.0
ducts_and_pipes.osm,9.2.0-d67e9e635f,5388624.674117303,2.9.0
ideal_plant.osm,9.2.0-d67e9e635f,7158568.886419188,2.9.0
space_load_instances.osm,9.2.0-d67e9e635f,4981442.439230702,2.9.0
centralheatpumpsystem.rb,9.2.0-d67e9e635f,7703724.859509799,2.9.0
heatexchanger_airtoair_sensibleandlatent.rb,9.2.0-d67e9e635f,3457532.595019747,2.9.0
meters.rb,9.2.0-d67e9e635f,7821794.438187229,2.9.0
baseline_sys09.rb,9.2.0-d67e9e635f,6752912.637096291,2.9.0
multiple_loops_w_plenums.osm,9.2.0-d67e9e635f,6691171.829879083,2.9.0
air_terminals.osm,9.2.0-d67e9e635f,9964695.209161201,2.9.0
baseline_sys02.rb,9.2.0-d67e9e635f,3793751.7621084903,2.9.0
interior_partitions.osm,9.2.0-d67e9e635f,6115031.715125429,2.9.0
hot_water.rb,9.2.0-d67e9e635f,7151583.47424248,2.9.0
dual_duct.rb,9.2.0-d67e9e635f,5384738.623924018,2.9.0
coilsystem_waterhx.rb,9.2.0-d67e9e635f,4185588.8378172186,2.9.0
ideal_plant.rb,9.2.0-d67e9e635f,7158568.886419188,2.9.0
heatpump_hot_water.rb,9.2.0-d67e9e635f,4530793.311206532,2.9.0
schedule_ruleset_2012_LeapYear.rb,9.2.0-d67e9e635f,6791820.529885153,2.9.0
ideal_loads_w_plenums.osm,9.2.0-d67e9e635f,1145218.9919609718,2.9.0
meters.osm,9.2.0-d67e9e635f,7821794.438187229,2.9.0
fluid_coolers.rb,9.2.0-d67e9e635f,5301302.282822837,2.9.0
airterminal_cooledbeam.osm,9.2.0-d67e9e635f,6203017.578404115,2.9.0
zone_hvac.rb,9.2.0-d67e9e635f,6268236.874452874,2.9.0
baseline_sys04.rb,9.2.0-d67e9e635f,4436314.900653701,2.9.0
plant_op_temp_schemes.osm,9.2.0-d67e9e635f,2419322.1559421485,2.9.0
utility_bill02.osm,9.2.0-d67e9e635f,5643142.005435038,2.9.0
baseline_sys04.osm,9.2.0-d67e9e635f,4462882.214536083,2.9.0
plantloop_avms.osm,9.2.0-d67e9e635f,5632952.9713916695,2.9.0
baseline_sys03.rb,9.2.0-d67e9e635f,7143290.074439738,2.9.0
daylighting_shades.rb,9.2.0-d67e9e635f,5678192.2825442245,2.9.0
fluid_coolers.osm,9.2.0-d67e9e635f,5301302.282822837,2.9.0
baseline_sys08.rb,9.2.0-d67e9e635f,6552818.964826948,2.9.0
headered_pumps.osm,9.2.0-d67e9e635f,7692806.00628379,2.9.0
autosize_hvac.rb,9.2.0-d67e9e635f,0.0,2.9.0
pvwatts.rb,9.2.0-d67e9e635f,5633180.447500545,2.9.0
refrigeration_system.osm,9.2.0-d67e9e635f,8205906.804365405,2.9.0
setpoint_managers.osm,9.2.0-d67e9e635f,8015196.521587161,2.9.0
afn_single_zone_nv.osm,9.2.0-d67e9e635f,1044617.6828109166,2.9.0
multiple_airloops.rb,9.2.0-d67e9e635f,13336488.267477406,2.9.0
sql_partial_leap_mid,9.2.0-d67e9e635f,0.0,2.9.0
baseline_sys03.osm,9.2.0-d67e9e635f,7137641.08440267,2.9.0
plant_op_schemes.rb,9.2.0-d67e9e635f,7760337.976106114,2.9.0
dist_ht_cl.rb,9.2.0-d67e9e635f,7570954.63729631,2.9.0
lowtemprad_electric.osm,9.2.0-d67e9e635f,2104409.917718049,2.9.0
plant_op_schemes.osm,9.2.0-d67e9e635f,7760337.976106114,2.9.0
generator_microturbine.osm,9.2.0-d67e9e635f,49598758.08475093,2.9.0
availability_managers.rb,9.2.0-d67e9e635f,4291478.966498623,2.9.0
vrf_watercooled.rb,9.2.0-d67e9e635f,6971005.356480386,2.9.0
absorption_chillers.osm,9.2.0-d67e9e635f,7848598.7063496895,2.9.0
electric_equipment_ITE.osm,9.2.0-d67e9e635f,8028418.570415533,2.9.0
ExampleModel.rb,9.2.0-d67e9e635f,166569.38072386238,2.9.0
zone_fan_exhaust.rb,9.2.0-d67e9e635f,4184242.9375063735,2.9.0
pvwatts.osm,9.2.0-d67e9e635f,5651350.101696951,2.9.0
plantloop_avms_temp.osm,9.2.0-d67e9e635f,7090089.099476551,2.9.0
water_economizer.rb,9.2.0-d67e9e635f,7885392.966960253,2.9.0
additional_props.osm,9.2.0-d67e9e635f,5632952.9713916695,2.9.0
roof_vegetation.osm,9.2.0-d67e9e635f,4741976.443783542,2.9.0
daylighting_shades.osm,9.2.0-d67e9e635f,5678192.2825442245,2.9.0
schedule_ruleset_2013.osm,9.2.0-d67e9e635f,6780579.418838238,2.9.0
lowtemprad_varflow.rb,9.2.0-d67e9e635f,2089235.3656218331,2.9.0
sql_partial_leap_start,9.2.0-d67e9e635f,0.0,2.9.0
sql_wrap_leap,9.2.0-d67e9e635f,0.0,2.9.0
adiabatic_construction_set.osm,9.2.0-d67e9e635f,1894449.469226243,2.9.0
zone_hvac.osm,9.2.0-d67e9e635f,3839569.241704436,2.9.0
plant_op_temp_schemes.rb,9.2.0-d67e9e635f,2419322.1559421485,2.9.0
ems.rb,9.2.0-d67e9e635f,5632952.9713916695,2.9.0
schedule_ruleset_2012_LeapYear.osm,9.2.0-d67e9e635f,6791820.529885153,2.9.0
airloop_and_zonehvac.rb,9.2.0-d67e9e635f,3774349.9456556765,2.9.0
schedule_ruleset_2012_NonLeapYear.rb,9.2.0-d67e9e635f,6791820.529885153,2.9.0
plenums.osm,9.2.0-d67e9e635f,5219486.708997392,2.9.0
epw_design_conditions.osm,9.2.0-d67e9e635f,5632952.9713916695,2.9.0
multi_stage.osm,9.2.0-d67e9e635f,2984477.0702713705,2.9.0
unitary_vav_bypass.rb,9.2.0-d67e9e635f,4587577.034884502,2.9.0
zone_property_user_view_factors_by_surface_name.rb,9.2.0-d67e9e635f,3779354.4200509307,2.9.0
evaporative_cooling.rb,9.2.0-d67e9e635f,7137385.173780186,2.9.0
air_terminals.rb,9.2.0-d67e9e635f,8518240.980022252,2.9.0
lifecyclecostparameters.osm,9.2.0-d67e9e635f,166275.55741656528,2.9.0
airloop_avms.osm,9.2.0-d67e9e635f,4180830.795873246,2.9.0
afn_single_zone_nv.rb,9.2.0-d67e9e635f,1044617.6828109166,2.9.0
ideal_loads_w_plenums.rb,9.2.0-d67e9e635f,1145218.9919609718,2.9.0
baseline_sys08.osm,9.2.0-d67e9e635f,6540743.774714156,2.9.0
absorption_chillers.rb,9.2.0-d67e9e635f,7848598.7063496895,2.9.0
exterior_equipment.osm,9.2.0-d67e9e635f,4922137.5220126975,2.9.0
zone_hvac_equipment_list.rb,9.2.0-d67e9e635f,2980609.9764204924,2.9.0
airterminal_cooledbeam.rb,9.2.0-d67e9e635f,6207605.013266431,2.9.0
lowtemprad_constflow.osm,9.2.0-d67e9e635f,8969923.228707563,2.9.0
baseline_sys07.rb,9.2.0-d67e9e635f,7821794.438187229,2.9.0
space_load_instances.rb,9.2.0-d67e9e635f,4981442.439230702,2.9.0
zone_air_movement.osm,9.2.0-d67e9e635f,34213724.24062674,2.9.0
epw_design_conditions.rb,9.2.0-d67e9e635f,5632952.9713916695,2.9.0
unitary_system_performance_multispeed.osm,9.2.0-d67e9e635f,2158454.4499183143,2.9.0
ems_1floor_SpaceType_1space.osm,9.2.0-d67e9e635f,4510386.808606186,2.9.0
photovoltaics.osm,9.2.0-d67e9e635f,5633426.879951826,2.9.0
water_heaters.rb,9.2.0-d67e9e635f,6096009.025520741,2.9.0
exterior_equipment.rb,9.2.0-d67e9e635f,4922137.5220126975,2.9.0
baseline_sys01.osm,9.2.0-d67e9e635f,5651350.101696951,2.9.0
setpoint_managers.rb,9.2.0-d67e9e635f,8015196.521587161,2.9.0
utility_bill02.rb,9.2.0-d67e9e635f,5643142.005435038,2.9.0
sql_default_fullyear,9.2.0-d67e9e635f,0.0,2.9.0
pv_and_storage_demandleveling.rb,9.2.0-d67e9e635f,5554568.495541759,2.9.0
lowtemprad_electric.rb,9.2.0-d67e9e635f,2104116.094410752,2.9.0
dual_duct.osm,9.2.0-d67e9e635f,5384738.623924018,2.9.0
generator_microturbine.rb,9.2.0-d67e9e635f,49598758.08475093,2.9.0
unitary_system.rb,9.2.0-d67e9e635f,3806461.989691892,2.9.0
humidity_control.rb,9.2.0-d67e9e635f,7918576.044342423,2.9.0
evaporative_cooling.osm,9.2.0-d67e9e635f,7410005.812095906,2.9.0
baseline_sys05.rb,9.2.0-d67e9e635f,7413607.517153096,2.9.0
interior_partitions.rb,9.2.0-d67e9e635f,2868928.685133974,2.9.0
plantloop_avms_temp.rb,9.2.0-d67e9e635f,7090089.099476551,2.9.0
schedule_file.osm,9.2.0-d67e9e635f,6910875.838367709,2.9.0
zone_fan_exhaust.osm,9.2.0-d67e9e635f,4188110.0313572516,2.9.0
ems_scott.osm,9.2.0-d67e9e635f,29192.767305650174,2.9.0
unitary_system_performance_multispeed.rb,9.2.0-d67e9e635f,2149118.451283228,2.9.0
dsn_oa_w_ideal_loads.rb,9.2.0-d67e9e635f,6487950.361112704,2.9.0
multi_stage.rb,9.2.0-d67e9e635f,2984477.0702713705,2.9.0
baseline_sys06.rb,9.2.0-d67e9e635f,6703995.795516922,2.9.0
unitary_test.rb,9.2.0-d67e9e635f,2120380.6361953286,2.9.0
coolingtowers.osm,9.2.0-d67e9e635f,7773417.852366437,2.9.0
foundation_kiva.osm,9.2.0-d67e9e635f,4247955.204333835,2.9.0
sql_specific_fullyear_nonleap,9.2.0-d67e9e635f,0.0,2.9.0
surface_properties.rb,9.2.0-d67e9e635f,7431293.784618143,2.9.0
dsn_oa_w_ideal_loads.osm,9.2.0-d67e9e635f,6490926.506870488,2.9.0
coilsystem_waterhx.osm,9.2.0-d67e9e635f,4185588.8378172186,2.9.0
pv_and_storage_facilityexcess.rb,9.2.0-d67e9e635f,5626242.426179851,2.9.0
zone_hvac2.rb,9.2.0-d67e9e635f,4224591.512318112,2.9.0
daylighting_no_shades.osm,9.2.0-d67e9e635f,5558994.801493622,2.9.0
zone_mixing.osm,9.2.0-d67e9e635f,1044617.6828109166,2.9.0
zone_control_contaminant_controller.rb,9.2.0-d67e9e635f,6759329.359000813,2.9.0
transformer.rb,9.2.0-d67e9e635f,5632962.449562874,2.9.0
