,E+,SiteKBTU,OS
electric_equipment_ITE.osm,22.1.0-4ba5fb374c,7890463.788553928,Transition
daylighting_shades.rb,22.1.0-4ba5fb374c,5678173.326201818,Transition
roof_vegetation.osm,22.1.0-4ba5fb374c,4757643.860782322,Transition
zone_control_contaminant_controller.osm,22.1.0-4ba5fb374c,6759319.88082961,Transition
airloop_and_zonehvac.osm,22.1.0-4ba5fb374c,5651046.800218451,Transition
zone_hvac_equipment_list.osm,22.1.0-4ba5fb374c,2980439.369338836,Transition
photovoltaics_sandia.osm,22.1.0-4ba5fb374c,1957052.7900229378,Transition
headered_pumps.osm,22.1.0-4ba5fb374c,7693829.648773729,Transition
autosize_hvac.rb,22.1.0-4ba5fb374c,0.0,Transition
roof_vegetation.rb,22.1.0-4ba5fb374c,4757643.860782322,Transition
ems_scott.osm,22.1.0-4ba5fb374c,29097.98559361884,Transition
fuelcell.rb,22.1.0-4ba5fb374c,7455813.8135206485,Transition
coil_waterheating_desuperheater.rb,22.1.0-4ba5fb374c,2841053.383625559,Transition
ems_1floor_SpaceType_1space.osm,22.1.0-4ba5fb374c,4510064.55078528,Transition
afn_single_zone_nv.osm,22.1.0-4ba5fb374c,1044617.6828109166,Transition
heatpump_hot_water.osm,22.1.0-4ba5fb374c,4530736.442179314,Transition
daylighting_no_shades.osm,22.1.0-4ba5fb374c,5559004.279664826,Transition
coilsystem_dxhx.osm,22.1.0-4ba5fb374c,1159066.6000887495,Transition
multiple_airloops.rb,22.1.0-4ba5fb374c,13206258.195146358,Transition
multiple_airloops.osm,22.1.0-4ba5fb374c,13206258.195146358,Transition
afn_single_zone_nv.rb,22.1.0-4ba5fb374c,1044617.6828109166,Transition
centralheatpumpsystem.rb,22.1.0-4ba5fb374c,7713439.984993011,Transition
fan_on_off.rb,22.1.0-4ba5fb374c,8431373.540945536,Transition
lowtemprad_varflow.rb,22.1.0-4ba5fb374c,2089235.3656218331,Transition
thermal_storage.osm,22.1.0-4ba5fb374c,7823434.161805371,Transition
baseline_sys07.rb,22.1.0-4ba5fb374c,7823434.161805371,Transition
daylighting_devices.osm,22.1.0-4ba5fb374c,2938204.638457674,Transition
space_load_instances.osm,22.1.0-4ba5fb374c,4981423.482888296,Transition
ems.rb,22.1.0-4ba5fb374c,5632934.015049264,Transition
scheduled_infiltration.osm,22.1.0-4ba5fb374c,746026.8553986121,Transition
unitary_vav_bypass.rb,22.1.0-4ba5fb374c,4587548.600370893,Transition
refrigeration_system_2.osm,22.1.0-4ba5fb374c,3679302.844830657,Transition
zoneventilation_windandstackopenarea.osm,22.1.0-4ba5fb374c,10637237.803221922,Transition
asymmetric_interior_constructions.osm,22.1.0-4ba5fb374c,5783788.587918332,Transition
fan_componentmodel.osm,22.1.0-4ba5fb374c,3923327.840626524,Transition
thermal_storage.rb,22.1.0-4ba5fb374c,7823434.161805371,Transition
fan_on_off.osm,22.1.0-4ba5fb374c,7618914.183584164,Transition
vrf.osm,22.1.0-4ba5fb374c,3759526.0858939765,Transition
shadingcontrol_singlezone.osm,22.1.0-4ba5fb374c,6485429.167572671,Transition
chillers_tertiary.osm,22.1.0-4ba5fb374c,3129711.08761698,Transition
heatexchanger_desiccant_balancedflow.osm,22.1.0-4ba5fb374c,5265455.839332588,Transition
schedule_ruleset_2012_NonLeapYear.rb,22.1.0-4ba5fb374c,6791820.529885153,Transition
unitary_system_performance_multispeed.rb,22.1.0-4ba5fb374c,2148976.278715181,Transition
surface_properties.rb,22.1.0-4ba5fb374c,7427493.037965686,Transition
lowtemprad_constflow.rb,22.1.0-4ba5fb374c,9001523.45149881,Transition
chiller_reformulated.osm,22.1.0-4ba5fb374c,1450842.6224060012,Transition
doas_heatexchanger_airtoair_sensibleandlatent.rb,22.1.0-4ba5fb374c,3284698.1431306135,Transition
vrf_airloophvac.osm,22.1.0-4ba5fb374c,1889065.8679828632,Transition
outputcontrol_files.rb,22.1.0-4ba5fb374c,1957005.3991669219,Transition
ptac_othercoils.rb,22.1.0-4ba5fb374c,3805343.565489922,Transition
dsn_oa_w_ideal_loads.rb,22.1.0-4ba5fb374c,6487931.404770298,Transition
chillers_tertiary.rb,22.1.0-4ba5fb374c,3129711.08761698,Transition
humidity_control_2.osm,22.1.0-4ba5fb374c,5805029.169584553,Transition
design_day.osm,22.1.0-4ba5fb374c,1044617.6828109166,Transition
foundation_kiva_customblocks.osm,22.1.0-4ba5fb374c,4565274.89804353,Transition
surfacecontrol_moveableinsulation.rb,22.1.0-4ba5fb374c,2950403.044796107,Transition
zone_fan_exhaust.rb,22.1.0-4ba5fb374c,4122900.2134796963,Transition
environmental_factors.rb,22.1.0-4ba5fb374c,1044617.6828109166,Transition
plant_op_temp_schemes.osm,22.1.0-4ba5fb374c,2420487.971000134,Transition
airterminal_fourpipebeam.osm,22.1.0-4ba5fb374c,6122547.904889514,Transition
electric_equipment_ITE.rb,22.1.0-4ba5fb374c,7890463.788553928,Transition
solar_collector_flat_plate_water.rb,22.1.0-4ba5fb374c,6115041.193296633,Transition
baseline_sys06.rb,22.1.0-4ba5fb374c,6704611.876645125,Transition
plenums.osm,22.1.0-4ba5fb374c,5220263.919036048,Transition
daylighting_shades.osm,22.1.0-4ba5fb374c,5577951.143899889,Transition
pvwatts.osm,22.1.0-4ba5fb374c,5651340.623525748,Transition
baseline_sys01.osm,22.1.0-4ba5fb374c,5651340.623525748,Transition
zone_mixing.rb,22.1.0-4ba5fb374c,1044617.6828109166,Transition
daylighting_no_shades.rb,22.1.0-4ba5fb374c,5559004.279664826,Transition
lifecyclecostparameters.rb,22.1.0-4ba5fb374c,162958.19749546866,Transition
zone_property_user_view_factors_by_surface_name.osm,22.1.0-4ba5fb374c,3779316.5073661185,Transition
schedule_ruleset_2013.rb,22.1.0-4ba5fb374c,6780579.418838238,Transition
baseline_sys04.rb,22.1.0-4ba5fb374c,4436343.33516731,Transition
epw_design_conditions.rb,22.1.0-4ba5fb374c,5632934.015049264,Transition
baseline_sys10.rb,22.1.0-4ba5fb374c,5915952.20717482,Transition
air_chillers.osm,22.1.0-4ba5fb374c,4224600.990489314,Transition
solar_collector_flat_plate_water.osm,22.1.0-4ba5fb374c,6115060.149639038,Transition
transformer.osm,22.1.0-4ba5fb374c,5632943.493220466,Transition
lowtemprad_electric.rb,22.1.0-4ba5fb374c,2104125.5725819548,Transition
space_load_instances.rb,22.1.0-4ba5fb374c,4981423.482888296,Transition
heatpump_plantloop_eir.rb,22.1.0-4ba5fb374c,1662736.6178232464,Transition
plantloop_avms.osm,22.1.0-4ba5fb374c,5632934.015049264,Transition
zone_hvac2.osm,22.1.0-4ba5fb374c,4224600.990489314,Transition
ducts_and_pipes.osm,22.1.0-4ba5fb374c,5389439.796840772,Transition
ducts_and_pipes.rb,22.1.0-4ba5fb374c,5379535.107933498,Transition
heatexchanger_airtoair_sensibleandlatent.rb,22.1.0-4ba5fb374c,3457513.638677341,Transition
doas.osm,22.1.0-4ba5fb374c,5718730.420780025,Transition
surface_properties.osm,22.1.0-4ba5fb374c,7565106.605663977,Transition
ems.osm,22.1.0-4ba5fb374c,32803.950534043914,Transition
baseline_sys03.osm,22.1.0-4ba5fb374c,7137593.693546656,Transition
water_economizer.osm,22.1.0-4ba5fb374c,6911577.223036742,Transition
coilsystem_integrated_heatpump.rb,22.1.0-4ba5fb374c,1083127.4924092465,Transition
hot_water.osm,22.1.0-4ba5fb374c,7151583.47424248,Transition
interior_partitions.rb,22.1.0-4ba5fb374c,2894728.267148902,Transition
ptac_othercoils.osm,22.1.0-4ba5fb374c,3805343.565489922,Transition
schedule_fixed_interval_schedulefile.osm,22.1.0-4ba5fb374c,4177693.5212050085,Transition
schedule_fixed_interval.rb,22.1.0-4ba5fb374c,4248485.981921211,Transition
schedule_ruleset_2012_LeapYear.rb,22.1.0-4ba5fb374c,6791820.529885153,Transition
outputcontrol_files.osm,22.1.0-4ba5fb374c,1957005.3991669219,Transition
dual_duct.rb,22.1.0-4ba5fb374c,5385269.401511394,Transition
ExampleModel.rb,22.1.0-4ba5fb374c,162958.19749546866,Transition
pv_and_storage_facilityexcess.rb,22.1.0-4ba5fb374c,5626204.513495039,Transition
air_terminals.rb,22.1.0-4ba5fb374c,8520288.265002128,Transition
coil_cooling_dx.rb,22.1.0-4ba5fb374c,1096245.2813543826,Transition
zone_hvac2.rb,22.1.0-4ba5fb374c,4224600.990489314,Transition
coilsystem_dxhx_desiccant_balancedflow.osm,22.1.0-4ba5fb374c,1159066.6000887495,Transition
dual_duct.osm,22.1.0-4ba5fb374c,5385269.401511394,Transition
zone_control_contaminant_controller.rb,22.1.0-4ba5fb374c,6759319.88082961,Transition
solar_collector_flat_plate_photovoltaicthermal.rb,22.1.0-4ba5fb374c,6246465.515199277,Transition
availability_managers.rb,22.1.0-4ba5fb374c,4288948.2947873855,Transition
ideal_loads_w_plenums.rb,22.1.0-4ba5fb374c,1145200.0356185657,Transition
unitary_vav_bypass_plenum.rb,22.1.0-4ba5fb374c,3798926.843585401,Transition
pv_and_storage_facilityexcess.osm,22.1.0-4ba5fb374c,5626204.513495039,Transition
baseline_sys09.osm,22.1.0-4ba5fb374c,6738884.943715654,Transition
zone_fan_exhaust.osm,22.1.0-4ba5fb374c,4122701.1718844306,Transition
unitary_system_performance_multispeed.osm,22.1.0-4ba5fb374c,2158245.930151846,Transition
