,E+,SiteKBTU,OS
multiple_loops_w_plenums.rb,9.3.0-baff08990c,,Transition
plant_op_deltatemp_schemes.osm,9.3.0-baff08990c,2419909.802556743,Transition
baseline_sys04.rb,9.3.0-baff08990c,4436333.856996107,Transition
space_load_instances.rb,9.3.0-baff08990c,4981442.439230702,Transition
absorption_chillers.rb,9.3.0-baff08990c,7841044.603900793,Transition
multiple_loops_w_plenums.osm,9.3.0-baff08990c,,Transition
schedule_ruleset_2013.rb,9.3.0-baff08990c,6780598.375180644,Transition
plantloop_avms_temp.osm,9.3.0-baff08990c,7090913.700371224,Transition
multi_stage.osm,9.3.0-baff08990c,2983093.257275713,Transition
tablemultivariablelookup.rb,9.3.0-baff08990c,6121865.476562888,Transition
zone_property_user_view_factors_by_surface_name.rb,9.3.0-baff08990c,3779354.4200509307,Transition
setpoint_managers.osm,9.3.0-baff08990c,8016172.773221085,Transition
availability_managers.rb,9.3.0-baff08990c,4291478.966498623,Transition
moisture_settings.rb,9.3.0-baff08990c,5636639.979989689,Transition
multiple_airloops.osm,9.3.0-baff08990c,,Transition
schedule_ruleset_2013.osm,9.3.0-baff08990c,6780598.375180644,Transition
lifecyclecostparameters.rb,9.3.0-baff08990c,166569.38072386238,Transition
dual_duct.osm,9.3.0-baff08990c,5384719.667581612,Transition
baseline_sys08.rb,9.3.0-baff08990c,6553018.006422213,Transition
zone_air_movement.osm,9.3.0-baff08990c,34213724.24062674,Transition
airloop_and_zonehvac.rb,9.3.0-baff08990c,3774349.9456556765,Transition
ExampleModel.rb,9.3.0-baff08990c,166569.38072386238,Transition
ducts_and_pipes.rb,9.3.0-baff08990c,5379620.411474327,Transition
zone_control_contaminant_controller.osm,9.3.0-baff08990c,6759338.837172016,Transition
airterminal_cooledbeam.osm,9.3.0-baff08990c,6202884.884007271,Transition
plant_op_temp_schemes.osm,9.3.0-baff08990c,2419909.802556743,Transition
zone_fan_exhaust.rb,9.3.0-baff08990c,4184328.2410472017,Transition
refrigeration_system.osm,9.3.0-baff08990c,8173083.897488954,Transition
baseline_sys03.rb,9.3.0-baff08990c,7143309.0307821445,Transition
plant_op_schemes.rb,9.3.0-baff08990c,7761162.577000787,Transition
heatexchanger_airtoair_sensibleandlatent.rb,9.3.0-baff08990c,3457532.595019747,Transition
utility_bill02.rb,9.3.0-baff08990c,5643160.961777445,Transition
performanceprecisiontradeoffs.rb,9.3.0-baff08990c,4410894.445486898,Transition
zone_hvac2.osm,9.3.0-baff08990c,4224600.990489314,Transition
schedule_file.osm,9.3.0-baff08990c,,Transition
roof_vegetation.rb,9.3.0-baff08990c,4741976.443783542,Transition
ducts_and_pipes.osm,9.3.0-baff08990c,5389496.665867992,Transition
zone_air_movement.rb,9.3.0-baff08990c,34213724.24062674,Transition
