,E+,SiteKBTU,OS
solar_collector_flat_plate_water.rb,8.9.0-eba93e8e1b,6108889.860185799,2.7.0
airterminal_fourpipebeam.rb,8.9.0-eba93e8e1b,5961428.472607453,2.7.0
air_chillers.rb,8.9.0-eba93e8e1b,12483234.861257749,2.7.0
baseline_sys02.osm,8.9.0-eba93e8e1b,3979580.7867171196,2.7.0
pv_and_storage_facilityexcess.osm,8.9.0-eba93e8e1b,5620091.093069019,2.7.0
multiple_airloops.osm,8.9.0-eba93e8e1b,14247255.216557676,2.7.0
utility_bill01.rb,8.9.0-eba93e8e1b,5633379.489095811,2.7.0
baseline_sys06.osm,8.9.0-eba93e8e1b,6354317.62531973,2.7.0
heatexchanger_airtoair_sensibleandlatent.osm,8.9.0-eba93e8e1b,3462811.9363798923,2.7.0
unitary_systems_airloop_and_zonehvac.rb,8.9.0-eba93e8e1b,5655596.322395955,2.7.0
thermal_storage.rb,8.9.0-eba93e8e1b,9152785.585729612,2.7.0
zone_control_contaminant_controller.osm,8.9.0-eba93e8e1b,6758703.799701407,2.7.0
ems.osm,8.9.0-eba93e8e1b,32481.69271313739,2.7.0
headered_pumps.rb,8.9.0-eba93e8e1b,8945450.590661073,2.7.0
centralheatpumpsystem.osm,8.9.0-eba93e8e1b,7450344.90873644,2.7.0
baseline_sys10.osm,8.9.0-eba93e8e1b,5904331.969279778,2.7.0
unitary_systems_airloop_and_zonehvac.osm,8.9.0-eba93e8e1b,5629237.528280041,2.7.0
moisture_settings.rb,8.9.0-eba93e8e1b,5629891.522093059,2.7.0
water_heaters.osm,8.9.0-eba93e8e1b,6281278.838028385,2.7.0
schedule_file.rb,8.9.0-eba93e8e1b,6909890.108562583,2.7.0
plant_op_deltatemp_schemes.rb,8.9.0-eba93e8e1b,2668541.1895573325,2.7.0
baseline_sys05.osm,8.9.0-eba93e8e1b,7938015.7734800475,2.7.0
air_chillers.osm,8.9.0-eba93e8e1b,4334377.169364003,2.7.0
heatpump_hot_water.osm,8.9.0-eba93e8e1b,4528850.286109889,2.7.0
plantloop_avms.rb,8.9.0-eba93e8e1b,5626735.291082415,2.7.0
fuelcell.osm,8.9.0-eba93e8e1b,56248927.34600525,2.7.0
