,E+,SiteKBTU,OS
ems_scott.osm,,,Transition
performanceprecisiontradeoffs.rb,23.2.0-c854ba6bfe,4410951.314514116,Transition
design_day.osm,23.2.0-c854ba6bfe,1044617.6828109166,Transition
heatpump_airtowater_fuelfired.osm,23.2.0-c854ba6bfe,2097197.0294324644,Transition
outputcontrol_timestamp.osm,23.2.0-c854ba6bfe,1957005.3991669219,Transition
dsn_oa_w_ideal_loads.rb,23.2.0-c854ba6bfe,6487931.404770298,Transition
exterior_equipment.rb,23.2.0-c854ba6bfe,4922109.087499089,Transition
electric_equipment_ITE.rb,23.2.0-c854ba6bfe,7890245.790616257,Transition
doas_coil_cooling_dx_two_speed.osm,23.2.0-c854ba6bfe,3386759.0906459517,Transition
setpoint_manager_systemnodereset.osm,23.2.0-c854ba6bfe,3192958.924055488,Transition
tablelookup.osm,23.2.0-c854ba6bfe,2244544.678956373,Transition
heatpump_plantloop_eir.rb,23.2.0-c854ba6bfe,1662736.6178232464,Transition
doas.rb,23.2.0-c854ba6bfe,5717280.260585946,Transition
baseline_sys08.rb,23.2.0-c854ba6bfe,6553387.655099135,Transition
coilsystem_dxhx.rb,23.2.0-c854ba6bfe,1159066.6000887495,Transition
swimmingpool_indoor.rb,23.2.0-c854ba6bfe,11524508.365889626,Transition
performanceprecisiontradeoffs.osm,23.2.0-c854ba6bfe,4410951.314514116,Transition
transformer.osm,23.2.0-c854ba6bfe,5631720.809135263,Transition
dual_duct.osm,23.2.0-c854ba6bfe,5385269.401511394,Transition
heatexchanger_desiccant_balancedflow.osm,23.2.0-c854ba6bfe,5265455.839332588,Transition
airterminal_fourpipebeam.osm,23.2.0-c854ba6bfe,6122472.079519889,Transition
coil_waterheating_desuperheater.osm,23.2.0-c854ba6bfe,2659603.2741127783,Transition
schedule_ruleset_2012_NonLeapYear.osm,23.2.0-c854ba6bfe,6791820.529885153,Transition
pv_and_storage_demandleveling.rb,23.2.0-c854ba6bfe,7093738.195389758,Transition
refrigeration_system.rb,23.2.0-c854ba6bfe,8599819.59956762,Transition
airterminal_inletsidemixer.rb,23.2.0-c854ba6bfe,3363840.872676776,Transition
