,E+,SiteKBTU,OS
storage_liion_battery.py,,,Transition
design_day.rb,24.2.0-e7ecb2d53b,1044617.6828109166,Transition
unitary_test.rb,24.2.0-e7ecb2d53b,2123214.6093850653,Transition
lowtemprad_varflow.rb,24.2.0-e7ecb2d53b,2089235.3656218331,Transition
dual_duct.rb,24.2.0-e7ecb2d53b,5386236.174974113,Transition
generator_microturbine.py,24.2.0-e7ecb2d53b,55755901.31453187,Transition
ptac_othercoils.osm,24.2.0-e7ecb2d53b,4895816.640581597,Transition
sizing_zone_dszad.py,,,Transition
baseline_sys05.rb,24.2.0-e7ecb2d53b,7416744.791821334,Transition
ideal_plant.osm,24.2.0-e7ecb2d53b,7163232.14665113,Transition
humidity_control_2.rb,24.2.0-e7ecb2d53b,5797816.281298969,Transition
multi_stage_electric.osm,24.2.0-e7ecb2d53b,2176927.405593221,Transition
coilsystem_dxhx_desiccant_balancedflow.py,24.2.0-e7ecb2d53b,1160459.89125561,Transition
heatrecovery_chiller.py,24.2.0-e7ecb2d53b,5232339.10914884,Transition
epw_design_conditions.osm,24.2.0-e7ecb2d53b,5648080.132631871,Transition
shadingcontrol_singlezone.py,,,Transition
fan_componentmodel.osm,24.2.0-e7ecb2d53b,3925356.169263995,Transition
lowtemprad_varflow.osm,24.2.0-e7ecb2d53b,2089235.3656218331,Transition
vrf_fluid_temperature_control.py,24.2.0-e7ecb2d53b,1316622.239998432,Transition
heatpump_airtowater_fuelfired.rb,24.2.0-e7ecb2d53b,2114172.434057276,Transition
plant_op_deltatemp_schemes.rb,24.2.0-e7ecb2d53b,3083751.4354529874,Transition
unitary_vav_bypass.rb,24.2.0-e7ecb2d53b,4590960.742004022,Transition
outputcontrol_files.rb,,,Transition
air_terminals.osm,24.2.0-e7ecb2d53b,9938800.845434243,Transition
doas_heatexchanger_airtoair_sensibleandlatent.osm,24.2.0-e7ecb2d53b,3284698.1431306135,Transition
electric_equipment_ITE.py,24.2.0-e7ecb2d53b,7891838.123378383,Transition
ghx_horizontal_trench_kusuda.py,24.2.0-e7ecb2d53b,729.8191826412543,Transition
exterior_equipment.osm,,,Transition
meters.py,24.2.0-e7ecb2d53b,7826220.744139093,Transition
doas.py,24.2.0-e7ecb2d53b,5717280.260585946,Transition
surface_properties.py,24.2.0-e7ecb2d53b,8783098.996122604,Transition
refrigeration_system.rb,24.2.0-e7ecb2d53b,8603952.082212185,Transition
foundation_kiva.osm,24.2.0-e7ecb2d53b,4619518.471839062,Transition
baseline_sys07.rb,24.2.0-e7ecb2d53b,7826220.744139093,Transition
water_economizer.py,24.2.0-e7ecb2d53b,7916926.842553076,Transition
baseline_sys10.osm,24.2.0-e7ecb2d53b,5905668.391419421,Transition
unitary_system.osm,24.2.0-e7ecb2d53b,3822622.2715932336,Transition
baseline_sys06.rb,24.2.0-e7ecb2d53b,6708791.750145706,Transition
additional_props.osm,24.2.0-e7ecb2d53b,5648080.132631871,Transition
coil_waterheating_desuperheater_2.osm,24.2.0-e7ecb2d53b,4678804.43271466,Transition
generator_microturbine.osm,24.2.0-e7ecb2d53b,48482039.95359778,Transition
heatpump_airtowater_fuelfired.osm,24.2.0-e7ecb2d53b,2114172.434057276,Transition
fan_systemmodel.py,,,Transition
zone_mixing.osm,24.2.0-e7ecb2d53b,1044617.6828109166,Transition
surface_properties_ground_and_solarmult.osm,24.2.0-e7ecb2d53b,2576650.3197429567,Transition
baseline_sys02.rb,24.2.0-e7ecb2d53b,4275603.029733375,Transition
adiabatic_construction_set.py,,,Transition
chiller_electric_ashrae205.rb,24.2.0-e7ecb2d53b,3136905.0195601583,Transition
heatexchanger_desiccant_balancedflow.py,24.2.0-e7ecb2d53b,5271701.954155452,Transition
vrf_airloophvac.osm,,,Transition
chillers_tertiary.py,24.2.0-e7ecb2d53b,3154780.8504492673,Transition
roof_vegetation.py,,,Transition
coil_waterheating_desuperheater_2.py,24.2.0-e7ecb2d53b,4678595.912948191,Transition
zone_hvac_equipment_list.rb,24.2.0-e7ecb2d53b,2984856.197119496,Transition
zoneventilation_windandstackopenarea.py,24.2.0-e7ecb2d53b,10235837.252769232,Transition
dsn_oa_w_ideal_loads.py,24.2.0-e7ecb2d53b,6494499.7774140695,Transition
ghx_horizontal_trench_kusuda.rb,24.2.0-e7ecb2d53b,729.8191826412543,Transition
coil_cooling_dx.py,24.2.0-e7ecb2d53b,1097050.925906649,Transition
heatrecovery_chiller.rb,24.2.0-e7ecb2d53b,5232339.10914884,Transition
surface_properties_lwr.rb,,,Transition
output_objects.osm,,,Transition
solar_collector_flat_plate_photovoltaicthermal.py,24.2.0-e7ecb2d53b,7160331.826262971,Transition
ideal_loads_w_plenums.osm,24.2.0-e7ecb2d53b,1145512.815268269,Transition
thermal_storage.osm,24.2.0-e7ecb2d53b,7826220.744139093,Transition
setpoint_managers.py,24.2.0-e7ecb2d53b,8019821.869134291,Transition
baseline_sys01.py,24.2.0-e7ecb2d53b,7085198.363135735,Transition
refrigeration_system.osm,24.2.0-e7ecb2d53b,8603952.082212185,Transition
baseline_sys10.rb,24.2.0-e7ecb2d53b,5918331.228146806,Transition
schedule_ruleset_2012_NonLeapYear.py,24.2.0-e7ecb2d53b,6791223.405099357,Transition
daylighting_no_shades.py,24.2.0-e7ecb2d53b,7011401.32214814,Transition
water_heaters.rb,24.2.0-e7ecb2d53b,7548207.02640879,Transition
coil_cooling_dx.osm,24.2.0-e7ecb2d53b,1097050.925906649,Transition
ideal_loads_w_plenums.rb,24.2.0-e7ecb2d53b,1145512.815268269,Transition
zone_property_user_view_factors_by_surface_name.py,24.2.0-e7ecb2d53b,4511164.018644843,Transition
baseline_sys06.py,24.2.0-e7ecb2d53b,6708791.750145706,Transition
coil_waterheating_desuperheater.rb,24.2.0-e7ecb2d53b,2656086.8725964157,Transition
baseline_sys08.rb,24.2.0-e7ecb2d53b,6557302.139806029,Transition
infiltration.osm,24.2.0-e7ecb2d53b,1044617.6828109166,Transition
vrf_watercooled.py,,,Transition
setpoint_manager_systemnodereset.rb,24.2.0-e7ecb2d53b,3194826.123782505,Transition
chillers_tertiary.osm,24.2.0-e7ecb2d53b,3154780.8504492673,Transition
electric_equipment_ITE.rb,24.2.0-e7ecb2d53b,7891838.123378383,Transition
pv_and_storage_facilityexcess.py,24.2.0-e7ecb2d53b,7090468.226324677,Transition
foundation_kiva_customblocks.rb,,,Transition
surface_properties_ground_and_solarmult.rb,24.2.0-e7ecb2d53b,2582024.4428151324,Transition
headered_pumps.py,24.2.0-e7ecb2d53b,7694521.555271557,Transition
pv_and_storage_facilityexcess.osm,24.2.0-e7ecb2d53b,5641454.890960881,Transition
elcd_no_generators.py,24.2.0-e7ecb2d53b,1051195.5336258907,Transition
solar_collector_flat_plate_photovoltaicthermal_bipvt.rb,24.2.0-e7ecb2d53b,4249575.971609571,Transition
vrf_fluid_temperature_control_hr.osm,24.2.0-e7ecb2d53b,1343521.289872924,Transition
foundation_kiva.py,24.2.0-e7ecb2d53b,6384998.465504271,Transition
zone_air_movement.osm,24.2.0-e7ecb2d53b,34216814.124438964,Transition
autosize_hvac.rb,,,Transition
ghx_horizontal_trench_xing.osm,24.2.0-e7ecb2d53b,729.8191826412543,Transition
utility_bill01.osm,24.2.0-e7ecb2d53b,5653861.817065782,Transition
pvwatts.osm,24.2.0-e7ecb2d53b,5653985.033291423,Transition
lifecyclecostparameters.py,24.2.0-e7ecb2d53b,162702.28687298406,Transition
zone_control_contaminant_controller.osm,24.2.0-e7ecb2d53b,6764324.355224865,Transition
cooling_coils.py,24.2.0-e7ecb2d53b,8176287.519355614,Transition
photovoltaics.rb,24.2.0-e7ecb2d53b,7085634.359011078,Transition
baseline_sys05.osm,24.2.0-e7ecb2d53b,6988568.407719792,Transition
multiple_airloops.osm,24.2.0-e7ecb2d53b,13207405.053861935,Transition
cooling_coils.rb,24.2.0-e7ecb2d53b,8176287.519355614,Transition
lowtemprad_constflow.osm,24.2.0-e7ecb2d53b,9002253.27068145,Transition
fluid_coolers.py,24.2.0-e7ecb2d53b,5310562.456088298,Transition
vrf_airloophvac.py,,,Transition
solar_collector_flat_plate_photovoltaicthermal_bipvt.osm,24.2.0-e7ecb2d53b,4249575.971609571,Transition
unitary_vav_bypass.py,24.2.0-e7ecb2d53b,4590960.742004022,Transition
unitary_system.py,24.2.0-e7ecb2d53b,3822622.2715932336,Transition
tablelookup.osm,24.2.0-e7ecb2d53b,2245065.9783725454,Transition
heatexchanger_desiccant_balancedflow.rb,24.2.0-e7ecb2d53b,5271701.954155452,Transition
humidity_control_2.py,24.2.0-e7ecb2d53b,5797816.281298969,Transition
foundation_kiva_customblocks.py,,,Transition
swimmingpool_indoor.osm,24.2.0-e7ecb2d53b,11497770.444925588,Transition
schedule_ruleset_2012_LeapYear.py,24.2.0-e7ecb2d53b,6791223.405099357,Transition
zone_air_movement.py,24.2.0-e7ecb2d53b,34215288.13887525,Transition
zone_hvac_cooling_panel.rb,24.2.0-e7ecb2d53b,1045034.7223438543,Transition
foundation_kiva_customblocks.osm,,,Transition
airterminal_fourpipebeam.rb,24.2.0-e7ecb2d53b,6123941.196056375,Transition
evaporative_cooling.rb,24.2.0-e7ecb2d53b,7140494.013934813,Transition
chiller_reformulated.rb,24.2.0-e7ecb2d53b,1403669.7643280074,Transition
lowtemprad_constflow.py,24.2.0-e7ecb2d53b,8999011.736129979,Transition
doas.osm,24.2.0-e7ecb2d53b,5717280.260585946,Transition
zone_hvac_equipment_list.py,24.2.0-e7ecb2d53b,2984856.197119496,Transition
daylighting_devices.py,,,Transition
doas.rb,24.2.0-e7ecb2d53b,5717280.260585946,Transition
multiple_loops_w_plenums.py,24.2.0-e7ecb2d53b,6493788.914573834,Transition
photovoltaics_sandia.osm,,,Transition
transformer.osm,24.2.0-e7ecb2d53b,5648089.610803074,Transition
vrf_watercooled.osm,,,Transition
zone_hvac.py,24.2.0-e7ecb2d53b,5047116.687497212,Transition
refrigeration_system_2.osm,24.2.0-e7ecb2d53b,3681141.610044065,Transition
air_terminals.py,24.2.0-e7ecb2d53b,8524525.00752993,Transition
chiller_reformulated.py,24.2.0-e7ecb2d53b,1403669.7643280074,Transition
ems.osm,,,Transition
fuelcell.py,24.2.0-e7ecb2d53b,7458827.871963244,Transition
moisture_settings.rb,,,Transition
ghx_vertical_kusuda.rb,24.2.0-e7ecb2d53b,616.0811282036562,Transition
plantloop_avms.py,24.2.0-e7ecb2d53b,7085198.363135735,Transition
zone_hvac2.osm,24.2.0-e7ecb2d53b,4223624.738855392,Transition
doas_coil_cooling_dx_two_speed.py,24.2.0-e7ecb2d53b,3386759.0906459517,Transition
multi_stage.rb,24.2.0-e7ecb2d53b,2979633.7247865694,Transition
cooling_coils.osm,24.2.0-e7ecb2d53b,8176287.519355614,Transition
generator_windturbine.rb,,,Transition
transformer.rb,24.2.0-e7ecb2d53b,7085198.363135735,Transition
doas_heatexchanger_airtoair_sensibleandlatent.py,24.2.0-e7ecb2d53b,3284698.1431306135,Transition
chiller_electric_ashrae205.osm,24.2.0-e7ecb2d53b,3136905.0195601583,Transition
ghx_vertical_xing.osm,24.2.0-e7ecb2d53b,616.0811282036562,Transition
pv_and_storage_facilityexcess.rb,24.2.0-e7ecb2d53b,7090468.226324677,Transition
dist_ht_cl.py,24.2.0-e7ecb2d53b,7575911.720835549,Transition
baseline_sys03.rb,24.2.0-e7ecb2d53b,7146389.436423163,Transition
zone_hvac2.py,24.2.0-e7ecb2d53b,4223766.911423439,Transition
lowtemprad_electric.osm,24.2.0-e7ecb2d53b,2104267.745150002,Transition
surface_properties_ground_and_solarmult.py,24.2.0-e7ecb2d53b,2582024.4428151324,Transition
plant_op_schemes.osm,,,Transition
coil_cooling_dx_singlespeed_thermalstorage.py,24.2.0-e7ecb2d53b,1137010.8956990584,Transition
water_heaters.osm,24.2.0-e7ecb2d53b,6302557.332379419,Transition
electric_equipment_ITE.osm,24.2.0-e7ecb2d53b,7891838.123378383,Transition
water_economizer.osm,24.2.0-e7ecb2d53b,6782039.05720352,Transition
heatpump_plantloop_eir.py,24.2.0-e7ecb2d53b,1663968.7800796535,Transition
heatrecovery_chiller.osm,24.2.0-e7ecb2d53b,5232339.10914884,Transition
vrf.osm,,,Transition
ghx_vertical_kusuda.py,24.2.0-e7ecb2d53b,616.0811282036562,Transition
fan_on_off.osm,24.2.0-e7ecb2d53b,7593152.514254048,Transition
air_chillers.rb,24.2.0-e7ecb2d53b,12550416.138745556,Transition
shadingcontrol_singlezone.osm,,,Transition
performanceprecisiontradeoffs.osm,24.2.0-e7ecb2d53b,4411842.26260721,Transition
fan_componentmodel.py,24.2.0-e7ecb2d53b,3925356.169263995,Transition
window_property_frame_and_divider.rb,,,Transition
schedule_file.rb,24.2.0-e7ecb2d53b,6911880.524515241,Transition
unitary_system_performance_multispeed.rb,24.2.0-e7ecb2d53b,2148995.2350575873,Transition
heatpump_hot_water.py,24.2.0-e7ecb2d53b,4531399.914163533,Transition
schedule_fixed_interval_schedulefile.rb,24.2.0-e7ecb2d53b,4248978.846823773,Transition
schedule_file.osm,24.2.0-e7ecb2d53b,6913264.337510899,Transition
coil_userdefined.py,24.2.0-e7ecb2d53b,3133075.8383940924,Transition
evaporative_cooling.py,24.2.0-e7ecb2d53b,7140494.013934813,Transition
hot_water.osm,24.2.0-e7ecb2d53b,7156246.734474421,Transition
shadingcontrol_singlezone.rb,,,Transition
air_chillers.py,24.2.0-e7ecb2d53b,12550416.138745556,Transition
zone_hvac.rb,24.2.0-e7ecb2d53b,5047116.687497212,Transition
zoneventilation_windandstackopenarea.rb,24.2.0-e7ecb2d53b,10235837.252769232,Transition
daylighting_devices.rb,,,Transition
ghx_vertical_kusuda.osm,24.2.0-e7ecb2d53b,616.0811282036562,Transition
schedule_file.py,24.2.0-e7ecb2d53b,6911880.524515241,Transition
centralheatpumpsystem.py,24.2.0-e7ecb2d53b,4631290.360473353,Transition
coil_cooling_dx_airloop.py,24.2.0-e7ecb2d53b,1095534.4185141479,Transition
baseline_sys05.py,24.2.0-e7ecb2d53b,7416744.791821334,Transition
daylighting_no_shades.osm,24.2.0-e7ecb2d53b,5573752.3140569,Transition
ducts_and_pipes.py,24.2.0-e7ecb2d53b,5379326.588167029,Transition
plant_op_temp_schemes.py,,,Transition
surfacecontrol_moveableinsulation.osm,,,Transition
absorption_chillers.rb,24.2.0-e7ecb2d53b,7851783.371873942,Transition
surface_properties.osm,24.2.0-e7ecb2d53b,7567371.888581526,Transition
photovoltaics_sandia.rb,,,Transition
schedule_fixed_interval.rb,24.2.0-e7ecb2d53b,4248978.846823773,Transition
airterminal_inletsidemixer.rb,24.2.0-e7ecb2d53b,3364286.346723323,Transition
solar_collector_integralcollectorstorage.rb,24.2.0-e7ecb2d53b,7716179.1764707165,Transition
elcd_no_generators.rb,24.2.0-e7ecb2d53b,1051195.5336258907,Transition
heatpump_varspeed.osm,24.2.0-e7ecb2d53b,1578816.8899907053,Transition
window_property_frame_and_divider.osm,,,Transition
baseline_sys04.osm,24.2.0-e7ecb2d53b,4464247.071189334,Transition
plant_op_temp_schemes.osm,,,Transition
infiltration.py,24.2.0-e7ecb2d53b,1044617.6828109166,Transition
water_economizer.rb,24.2.0-e7ecb2d53b,7916926.842553076,Transition
airterminal_inletsidemixer.py,24.2.0-e7ecb2d53b,3364286.346723323,Transition
unitary_vav_bypass_coiltypes.py,24.2.0-e7ecb2d53b,2364528.848216836,Transition
design_day.osm,24.2.0-e7ecb2d53b,1044617.6828109166,Transition
performanceprecisiontradeoffs.rb,24.2.0-e7ecb2d53b,4411842.26260721,Transition
elcd_no_generators.osm,24.2.0-e7ecb2d53b,1051195.5336258907,Transition
thermal_storage.rb,24.2.0-e7ecb2d53b,7826220.744139093,Transition
baseline_sys02.py,24.2.0-e7ecb2d53b,4275603.029733375,Transition
setpoint_manager_systemnodereset.py,24.2.0-e7ecb2d53b,3194835.601953708,Transition
space_load_instances.osm,,,Transition
output_objects_2.rb,,,Transition
airterminal_cooledbeam.py,24.2.0-e7ecb2d53b,6212931.745482592,Transition
pthp_othercoils.osm,24.2.0-e7ecb2d53b,3941165.75883082,Transition
refrigeration_system_2.py,24.2.0-e7ecb2d53b,3681141.610044065,Transition
phase_change.rb,,,Transition
unitary_vav_bypass_coiltypes.osm,24.2.0-e7ecb2d53b,2364509.89187443,Transition
pv_and_storage_demandleveling.rb,24.2.0-e7ecb2d53b,7098088.675971996,Transition
airterminal_fourpipebeam.osm,24.2.0-e7ecb2d53b,6123941.196056375,Transition
plenums.py,24.2.0-e7ecb2d53b,5223856.145922036,Transition
solar_collector_flat_plate_photovoltaicthermal.osm,24.2.0-e7ecb2d53b,6261621.110953087,Transition
zone_fan_exhaust.osm,24.2.0-e7ecb2d53b,4123544.7291215085,Transition
ghx_horizontal_trench_xing.py,24.2.0-e7ecb2d53b,729.8191826412543,Transition
outputcontrol_files.osm,,,Transition
heatpump_varspeed.rb,24.2.0-e7ecb2d53b,1578816.8899907053,Transition
vrf_fluid_temperature_control_hr.py,24.2.0-e7ecb2d53b,1343521.289872924,Transition
solar_collector_integralcollectorstorage.py,24.2.0-e7ecb2d53b,7716179.1764707165,Transition
utility_bill02.py,24.2.0-e7ecb2d53b,7081170.1403744025,Transition
output_objects.rb,,,Transition
tablemultivariablelookup.osm,24.2.0-e7ecb2d53b,6123941.196056375,Transition
centralheatpumpsystem.rb,24.2.0-e7ecb2d53b,4631290.360473353,Transition
ems_scott.osm,,,Transition
utility_bill02.rb,24.2.0-e7ecb2d53b,7081170.1403744025,Transition
chillers_tertiary.rb,24.2.0-e7ecb2d53b,3154780.8504492673,Transition
chiller_electric_ashrae205.py,24.2.0-e7ecb2d53b,3136905.0195601583,Transition
moisture_settings.py,,,Transition
plantloop_avms.rb,24.2.0-e7ecb2d53b,7085198.363135735,Transition
sizing_zone_dszad.rb,,,Transition
phase_change.osm,,,Transition
unitary_test.osm,24.2.0-e7ecb2d53b,2123214.6093850653,Transition
vrf_fluid_temperature_control.rb,24.2.0-e7ecb2d53b,1316622.239998432,Transition
zoneventilation_windandstackopenarea.osm,24.2.0-e7ecb2d53b,10637247.281393126,Transition
ghx_vertical_xing.py,24.2.0-e7ecb2d53b,616.0811282036562,Transition
coil_userdefined.rb,24.2.0-e7ecb2d53b,3133075.8383940924,Transition
hightemprad.py,24.2.0-e7ecb2d53b,4425301.26571566,Transition
coil_cooling_dx_airloop.rb,24.2.0-e7ecb2d53b,1095534.4185141479,Transition
daylighting_no_shades.rb,24.2.0-e7ecb2d53b,7011401.32214814,Transition
tablemultivariablelookup.rb,24.2.0-e7ecb2d53b,6123950.674227578,Transition
unitary_systems_airloop_and_zonehvac.rb,24.2.0-e7ecb2d53b,7295452.634934838,Transition
utility_bill01.py,24.2.0-e7ecb2d53b,7082610.82239728,Transition
generator_windturbine.py,,,Transition
airterminal_cooledbeam.rb,24.2.0-e7ecb2d53b,6212931.745482592,Transition
fan_componentmodel.rb,24.2.0-e7ecb2d53b,3925356.169263995,Transition
meters.rb,24.2.0-e7ecb2d53b,7826220.744139093,Transition
coilsystem_integrated_heatpump.py,24.2.0-e7ecb2d53b,1082928.4508139808,Transition
foundation_kiva.rb,24.2.0-e7ecb2d53b,6384998.465504271,Transition
multi_stage.osm,24.2.0-e7ecb2d53b,2979747.4628410074,Transition
unitary_systems_airloop_and_zonehvac.py,24.2.0-e7ecb2d53b,7295452.634934838,Transition
