,E+,SiteKBTU,OS
unitary_vav_bypass_plenum.osm,24.1.0-9d7789a3ac,3802367.4197321385,3.8.0
baseline_sys09.rb,24.1.0-9d7789a3ac,6755831.913826857,3.8.0
daylighting_shades.py,24.1.0-9d7789a3ac,,3.8.0
thermal_storage.osm,24.1.0-9d7789a3ac,7824988.5818826845,3.8.0
photovoltaics_sandia.osm,24.1.0-9d7789a3ac,1960493.3661696748,3.8.0
pv_and_storage_facilityexcess.osm,24.1.0-9d7789a3ac,5641483.3254744895,3.8.0
multiple_airloops.py,24.1.0-9d7789a3ac,13205063.945574762,3.8.0
tablelookup.py,24.1.0-9d7789a3ac,2245065.9783725454,3.8.0
setpoint_manager_systemnodereset.py,24.1.0-9d7789a3ac,3194352.215222348,3.8.0
vrf.rb,24.1.0-9d7789a3ac,3812755.495370772,3.8.0
multi_stage.rb,24.1.0-9d7789a3ac,2979121.9035416003,3.8.0
schedule_ruleset_2013.rb,24.1.0-9d7789a3ac,6779896.990511612,3.8.0
centralheatpumpsystem.osm,24.1.0-9d7789a3ac,7662769.681741061,3.8.0
ems.py,24.1.0-9d7789a3ac,7085198.363135735,3.8.0
availability_managers.rb,24.1.0-9d7789a3ac,4283839.560508897,3.8.0
foundation_kiva.osm,24.1.0-9d7789a3ac,4619518.471839062,3.8.0
electric_equipment_ITE.py,24.1.0-9d7789a3ac,7890899.784429274,3.8.0
multiple_airloops.osm,24.1.0-9d7789a3ac,13205063.945574762,3.8.0
water_heaters.rb,24.1.0-9d7789a3ac,7548254.417264806,3.8.0
swimmingpool_indoor.rb,24.1.0-9d7789a3ac,11497116.45111257,3.8.0
coilsystem_dxhx_desiccant_balancedflow.py,24.1.0-9d7789a3ac,1160459.89125561,3.8.0
design_day.osm,24.1.0-9d7789a3ac,1044617.6828109166,3.8.0
multi_stage_electric.rb,24.1.0-9d7789a3ac,2179344.3392500198,3.8.0
adiabatic_construction_set.rb,24.1.0-9d7789a3ac,1548856.3908176015,3.8.0
fluid_coolers.osm,24.1.0-9d7789a3ac,5309510.37908475,3.8.0
dual_duct.rb,24.1.0-9d7789a3ac,5386236.174974113,3.8.0
coilsystem_dxhx.rb,24.1.0-9d7789a3ac,1160459.89125561,3.8.0
adiabatic_construction_set.py,24.1.0-9d7789a3ac,1548856.3908176015,3.8.0
zone_mixing.osm,24.1.0-9d7789a3ac,1044617.6828109166,3.8.0
baseline_sys07.rb,24.1.0-9d7789a3ac,7824988.5818826845,3.8.0
storage_liion_battery.py,24.1.0-9d7789a3ac,2089235.3656218331,3.8.0
ptac_othercoils.rb,24.1.0-9d7789a3ac,4540906.519880275,3.8.0
ghx_vertical_kusuda.py,24.1.0-9d7789a3ac,616.0811282036562,3.8.0
surfacecontrol_moveableinsulation.py,24.1.0-9d7789a3ac,2952573.5460016243,3.8.0
zone_property_user_view_factors_by_surface_name.osm,24.1.0-9d7789a3ac,3783420.555497075,3.8.0
thermal_storage.py,24.1.0-9d7789a3ac,7824988.5818826845,3.8.0
meters.rb,24.1.0-9d7789a3ac,7824988.5818826845,3.8.0
coil_cooling_dx_airloop.py,24.1.0-9d7789a3ac,1095534.4185141479,3.8.0
python_plugin.rb,24.1.0-9d7789a3ac,,3.8.0
coilsystem_waterhx.osm,24.1.0-9d7789a3ac,4186337.613342266,3.8.0
shadowcalculation.rb,24.1.0-9d7789a3ac,2940905.9172505676,3.8.0
air_chillers.rb,24.1.0-9d7789a3ac,12543866.722444192,3.8.0
elcd_no_generators.py,24.1.0-9d7789a3ac,1051195.5336258907,3.8.0
schedule_file.osm,24.1.0-9d7789a3ac,6913264.337510899,3.8.0
hot_water.py,24.1.0-9d7789a3ac,7154682.8362259045,3.8.0
ghx_horizontal_trench_xing.osm,24.1.0-9d7789a3ac,729.8191826412543,3.8.0
additional_props.osm,24.1.0-9d7789a3ac,5648127.523487886,3.8.0
adiabatic_construction_set.osm,24.1.0-9d7789a3ac,1897861.6108593708,3.8.0
daylighting_no_shades.rb,24.1.0-9d7789a3ac,7011401.32214814,3.8.0
dist_ht_cl.osm,24.1.0-9d7789a3ac,7577020.6668663155,3.8.0
airterminal_inletsidemixer.osm,24.1.0-9d7789a3ac,3364030.4361008382,3.8.0
pv_and_storage_facilityexcess.py,24.1.0-9d7789a3ac,7090468.226324677,3.8.0
schedule_fixed_interval_schedulefile.py,24.1.0-9d7789a3ac,4248978.846823773,3.8.0
zone_hvac_equipment_list.py,24.1.0-9d7789a3ac,2984856.197119496,3.8.0
coolingtowers.py,24.1.0-9d7789a3ac,7881355.266027719,3.8.0
exterior_equipment.osm,24.1.0-9d7789a3ac,4927341.038003217,3.8.0
centralheatpumpsystem.rb,24.1.0-9d7789a3ac,7650590.231745035,3.8.0
fan_systemmodel.osm,24.1.0-9d7789a3ac,11914032.76782479,3.8.0
heatpump_hot_water.rb,24.1.0-9d7789a3ac,4531399.914163533,3.8.0
multi_stage.osm,24.1.0-9d7789a3ac,2980628.9327628985,3.8.0
humidity_control_2.rb,24.1.0-9d7789a3ac,5797816.281298969,3.8.0
