,E+,SiteKBTU,OS
outputcontrol_files.rb,9.4.0-998c4b761e,1957005.3991669219,3.1.0
baseline_sys02.osm,9.4.0-998c4b761e,3972955.545046129,3.1.0
coil_cooling_dx.osm,9.4.0-998c4b761e,1096245.2813543826,3.1.0
zoneventilation_windandstackopenarea.rb,9.4.0-998c4b761e,10637237.803221922,3.1.0
utility_bill02.rb,9.4.0-998c4b761e,5643123.049092632,3.1.0
multi_stage.osm,9.4.0-998c4b761e,2982960.562878869,3.1.0
adiabatic_construction_set.osm,9.4.0-998c4b761e,1894477.9037398524,3.1.0
evaporative_cooling.rb,9.4.0-998c4b761e,7137394.651951389,3.1.0
zone_hvac_equipment_list.rb,9.4.0-998c4b761e,2980439.369338836,3.1.0
schedule_fixed_interval_schedulefile.rb,9.4.0-998c4b761e,4248485.981921211,3.1.0
moisture_settings.osm,9.4.0-998c4b761e,5636621.023647282,3.1.0
humidity_control.osm,9.4.0-998c4b761e,7918604.478856031,3.1.0
airloop_avms.rb,9.4.0-998c4b761e,4180811.8395308396,3.1.0
dual_duct.rb,9.4.0-998c4b761e,5385269.401511394,3.1.0
setpoint_managers.osm,9.4.0-998c4b761e,8017035.28680057,3.1.0
dsn_oa_w_ideal_loads.rb,9.4.0-998c4b761e,6487931.404770298,3.1.0
fluid_coolers.osm,9.4.0-998c4b761e,5302354.359826385,3.1.0
pv_and_storage_demandleveling.osm,9.4.0-998c4b761e,5554615.886397774,3.1.0
solar_collector_flat_plate_water.osm,9.4.0-998c4b761e,6115041.193296633,3.1.0
baseline_sys03.osm,9.4.0-998c4b761e,7137593.693546656,3.1.0
schedule_fixed_interval.rb,9.4.0-998c4b761e,4248485.981921211,3.1.0
coil_waterheating_desuperheater.osm,9.4.0-998c4b761e,2822570.9497794495,3.1.0
pv_and_storage_facilityexcess.rb,9.4.0-998c4b761e,5626204.513495039,3.1.0
plantloop_avms_temp.osm,9.4.0-998c4b761e,7091453.956129802,3.1.0
performanceprecisiontradeoffs.osm,9.4.0-998c4b761e,4410875.489144491,3.1.0
sizing_zone_dszad.osm,9.4.0-998c4b761e,2938782.806901065,3.1.0
chillers_tertiary.osm,9.4.0-998c4b761e,3129711.08761698,3.1.0
air_terminals.rb,9.4.0-998c4b761e,8520288.265002128,3.1.0
lowtemprad_electric.osm,9.4.0-998c4b761e,2104419.3958892524,3.1.0
generator_microturbine.rb,9.4.0-998c4b761e,48438298.19349532,3.1.0
shadowcalculation.osm,9.4.0-998c4b761e,2938782.806901065,3.1.0
zone_property_user_view_factors_by_surface_name.rb,9.4.0-998c4b761e,3779316.5073661185,3.1.0
fan_on_off.rb,9.4.0-998c4b761e,8430975.457755005,3.1.0
absorption_chillers.rb,9.4.0-998c4b761e,7841594.337830574,3.1.0
photovoltaics.osm,9.4.0-998c4b761e,5633407.923609421,3.1.0
airterminal_fourpipebeam.rb,9.4.0-998c4b761e,6122547.904889514,3.1.0
daylighting_shades.rb,9.4.0-998c4b761e,5678173.326201818,3.1.0
photovoltaics.rb,9.4.0-998c4b761e,5633407.923609421,3.1.0
cooling_coils.rb,9.4.0-998c4b761e,8164913.713911854,3.1.0
coolingtowers.osm,9.4.0-998c4b761e,7602990.8559628995,3.1.0
zone_hvac2.osm,9.4.0-998c4b761e,4225046.464535862,3.1.0
airloop_and_zonehvac.rb,9.4.0-998c4b761e,3774302.554799661,3.1.0
centralheatpumpsystem.rb,9.4.0-998c4b761e,7709582.369313336,3.1.0
foundation_kiva.rb,9.4.0-998c4b761e,4266636.67977521,3.1.0
unitary_vav_bypass_plenum.osm,9.4.0-998c4b761e,3798926.843585401,3.1.0
airterminal_fourpipebeam.osm,9.4.0-998c4b761e,6122547.904889514,3.1.0
schedule_fixed_interval.osm,9.4.0-998c4b761e,4177693.5212050085,3.1.0
asymmetric_interior_constructions.osm,9.4.0-998c4b761e,5806422.460751413,3.1.0
