,E+,SiteKBTU,OS
baseline_sys06.osm,23.2.0-7636e6b3e9,6354876.837420714,3.7.0
window_property_frame_and_divider.osm,23.2.0-7636e6b3e9,1962066.7425893953,3.7.0
humidity_control.rb,23.2.0-7636e6b3e9,7915817.89652231,3.7.0
zone_hvac_cooling_panel.rb,23.2.0-7636e6b3e9,1045053.6786862605,3.7.0
water_economizer.rb,23.2.0-7636e6b3e9,7873241.951477835,3.7.0
heatpump_varspeed.rb,23.2.0-7636e6b3e9,1577177.1663725632,3.7.0
heatexchanger_desiccant_balancedflow.rb,23.2.0-7636e6b3e9,5265455.839332588,3.7.0
swimmingpool_indoor.osm,23.2.0-7636e6b3e9,11524508.365889626,3.7.0
schedule_fixed_interval.osm,23.2.0-7636e6b3e9,4177693.5212050085,3.7.0
water_heaters.osm,23.2.0-7636e6b3e9,6286207.487054015,3.7.0
baseline_sys08.osm,23.2.0-7636e6b3e9,6541359.855842359,3.7.0
python_plugin.osm,23.2.0-7636e6b3e9,1044617.6828109166,3.7.0
plenums.rb,23.2.0-7636e6b3e9,5219685.750592657,3.7.0
elcd_no_generators.rb,23.2.0-7636e6b3e9,1051195.5336258907,3.7.0
fan_systemmodel.rb,23.2.0-7636e6b3e9,12017107.879658863,3.7.0
baseline_sys09.rb,23.2.0-7636e6b3e9,6752855.768069074,3.7.0
humidity_control.osm,23.2.0-7636e6b3e9,7918604.478856031,3.7.0
multi_stage.rb,23.2.0-7636e6b3e9,2984505.50478498,3.7.0
unitary_system.rb,23.2.0-7636e6b3e9,3816414.0694551817,3.7.0
dist_ht_cl.osm,23.2.0-7636e6b3e9,7575172.423481704,3.7.0
utility_bill02.rb,23.2.0-7636e6b3e9,7077085.048585853,3.7.0
fan_componentmodel.rb,23.2.0-7636e6b3e9,3923185.6680584773,3.7.0
multi_stage.osm,23.2.0-7636e6b3e9,2983974.7271976047,3.7.0
airterminal_inletsidemixer.rb,23.2.0-7636e6b3e9,3363840.872676776,3.7.0
generator_microturbine.rb,23.2.0-7636e6b3e9,55742290.66068418,3.7.0
foundation_kiva_customblocks.rb,23.2.0-7636e6b3e9,6377036.80169364,3.7.0
unitary_systems_airloop_and_zonehvac.rb,23.2.0-7636e6b3e9,7293452.740810977,3.7.0
pthp_othercoils.osm,23.2.0-7636e6b3e9,3935203.9891440496,3.7.0
lowtemprad_electric.osm,23.2.0-7636e6b3e9,2104419.3958892524,3.7.0
solar_collector_flat_plate_photovoltaicthermal_bipvt.rb,23.2.0-7636e6b3e9,4247794.075423381,3.7.0
hightemprad.rb,23.2.0-7636e6b3e9,4425917.346843864,3.7.0
shadowcalculation.osm,23.2.0-7636e6b3e9,2938782.806901065,3.7.0
zone_hvac.osm,23.2.0-7636e6b3e9,3879368.082586392,3.7.0
