,E+,SiteKBTU,OS
baseline_sys06.osm,9.6.0-4b123cf80f,6354876.837420714,3.3.0
humidity_control.rb,9.6.0-4b123cf80f,7918604.478856031,3.3.0
zone_hvac_cooling_panel.rb,9.6.0-4b123cf80f,1045053.6786862605,3.3.0
water_economizer.rb,9.6.0-4b123cf80f,7873858.03260604,3.3.0
heatpump_varspeed.rb,9.6.0-4b123cf80f,1575945.004116156,3.3.0
heatexchanger_desiccant_balancedflow.rb,9.6.0-4b123cf80f,5265455.839332588,3.3.0
swimmingpool_indoor.osm,9.6.0-4b123cf80f,11524735.8419985,3.3.0
schedule_fixed_interval.osm,9.6.0-4b123cf80f,4177693.5212050085,3.3.0
water_heaters.osm,9.6.0-4b123cf80f,6287420.692968016,3.3.0
baseline_sys08.osm,9.6.0-4b123cf80f,6541359.855842359,3.3.0
plenums.rb,9.6.0-4b123cf80f,5220263.919036048,3.3.0
elcd_no_generators.rb,9.6.0-4b123cf80f,1051195.5336258907,3.3.0
fan_systemmodel.rb,9.6.0-4b123cf80f,11925937.350855926,3.3.0
baseline_sys09.rb,9.6.0-4b123cf80f,6752855.768069074,3.3.0
humidity_control.osm,9.6.0-4b123cf80f,7918604.478856031,3.3.0
multi_stage.rb,9.6.0-4b123cf80f,2984505.50478498,3.3.0
unitary_system.rb,9.6.0-4b123cf80f,3821570.194589686,3.3.0
dist_ht_cl.osm,9.6.0-4b123cf80f,7575172.423481704,3.3.0
utility_bill02.rb,9.6.0-4b123cf80f,5643123.049092632,3.3.0
fan_componentmodel.rb,9.6.0-4b123cf80f,3923327.840626524,3.3.0
multi_stage.osm,9.6.0-4b123cf80f,2983974.7271976047,3.3.0
airterminal_inletsidemixer.rb,9.6.0-4b123cf80f,3364475.9101473857,3.3.0
generator_microturbine.rb,9.6.0-4b123cf80f,48438298.19349532,3.3.0
foundation_kiva_customblocks.rb,9.6.0-4b123cf80f,4261926.028687253,3.3.0
unitary_systems_airloop_and_zonehvac.rb,9.6.0-4b123cf80f,5635502.599445313,3.3.0
pthp_othercoils.osm,9.6.0-4b123cf80f,3937061.7106998637,3.3.0
lowtemprad_electric.osm,9.6.0-4b123cf80f,2104419.3958892524,3.3.0
