,E+,SiteKBTU,OS
baseline_sys06.osm,23.1.0-87ed9199d4,6354876.837420714,3.6.1
window_property_frame_and_divider.osm,23.1.0-87ed9199d4,1962066.7425893953,3.6.1
humidity_control.rb,23.1.0-87ed9199d4,7915817.89652231,3.6.1
zone_hvac_cooling_panel.rb,23.1.0-87ed9199d4,1045053.6786862605,3.6.1
water_economizer.rb,23.1.0-87ed9199d4,7873241.951477835,3.6.1
heatpump_varspeed.rb,23.1.0-87ed9199d4,1577177.1663725632,3.6.1
heatexchanger_desiccant_balancedflow.rb,23.1.0-87ed9199d4,5265455.839332588,3.6.1
swimmingpool_indoor.osm,23.1.0-87ed9199d4,11524508.365889626,3.6.1
schedule_fixed_interval.osm,23.1.0-87ed9199d4,4177693.5212050085,3.6.1
water_heaters.osm,23.1.0-87ed9199d4,6286207.487054015,3.6.1
baseline_sys08.osm,23.1.0-87ed9199d4,6541359.855842359,3.6.1
python_plugin.osm,23.1.0-87ed9199d4,1044617.6828109166,3.6.1
plenums.rb,23.1.0-87ed9199d4,5219685.750592657,3.6.1
elcd_no_generators.rb,23.1.0-87ed9199d4,1051195.5336258907,3.6.1
fan_systemmodel.rb,23.1.0-87ed9199d4,12016927.794406004,3.6.1
baseline_sys09.rb,23.1.0-87ed9199d4,6752855.768069074,3.6.1
humidity_control.osm,23.1.0-87ed9199d4,7918604.478856031,3.6.1
multi_stage.rb,23.1.0-87ed9199d4,2984505.50478498,3.6.1
unitary_system.rb,23.1.0-87ed9199d4,3813523.227238226,3.6.1
dist_ht_cl.osm,23.1.0-87ed9199d4,7575172.423481704,3.6.1
utility_bill02.rb,23.1.0-87ed9199d4,7077085.048585853,3.6.1
fan_componentmodel.rb,23.1.0-87ed9199d4,3923185.6680584773,3.6.1
multi_stage.osm,23.1.0-87ed9199d4,2983974.7271976047,3.6.1
airterminal_inletsidemixer.rb,23.1.0-87ed9199d4,3363840.872676776,3.6.1
generator_microturbine.rb,23.1.0-87ed9199d4,55742290.66068418,3.6.1
foundation_kiva_customblocks.rb,23.1.0-87ed9199d4,6342934.341704766,3.6.1
unitary_systems_airloop_and_zonehvac.rb,23.1.0-87ed9199d4,7293452.740810977,3.6.1
pthp_othercoils.osm,23.1.0-87ed9199d4,3935203.9891440496,3.6.1
lowtemprad_electric.osm,23.1.0-87ed9199d4,2104419.3958892524,3.6.1
solar_collector_flat_plate_photovoltaicthermal_bipvt.rb,23.1.0-87ed9199d4,4247794.075423381,3.6.1
hightemprad.rb,23.1.0-87ed9199d4,4425917.346843864,3.6.1
shadowcalculation.osm,23.1.0-87ed9199d4,2938782.806901065,3.6.1
zone_hvac.osm,23.1.0-87ed9199d4,,3.6.1
