,E+,SiteKBTU,OS
multiple_loops_w_plenums.rb,9.2.0-921312fa1d,6691171.829879083,2.9.1
plant_op_deltatemp_schemes.osm,9.2.0-921312fa1d,2419322.1559421485,2.9.1
baseline_sys04.rb,9.2.0-921312fa1d,4436314.900653701,2.9.1
space_load_instances.rb,9.2.0-921312fa1d,4981442.439230702,2.9.1
absorption_chillers.rb,9.2.0-921312fa1d,7848598.7063496895,2.9.1
multiple_loops_w_plenums.osm,9.2.0-921312fa1d,6691171.829879083,2.9.1
schedule_ruleset_2013.rb,9.2.0-921312fa1d,6780579.418838238,2.9.1
plantloop_avms_temp.osm,9.2.0-921312fa1d,7090089.099476551,2.9.1
multi_stage.osm,9.2.0-921312fa1d,2984135.8561080573,2.9.1
tablemultivariablelookup.rb,9.2.0-921312fa1d,6121505.306057169,2.9.1
zone_property_user_view_factors_by_surface_name.rb,9.2.0-921312fa1d,3779354.4200509307,2.9.1
setpoint_managers.osm,9.2.0-921312fa1d,8015196.521587161,2.9.1
availability_managers.rb,9.2.0-921312fa1d,4291478.966498623,2.9.1
moisture_settings.rb,9.2.0-921312fa1d,5636137.636915922,2.9.1
multiple_airloops.osm,9.2.0-921312fa1d,13336488.267477406,2.9.1
schedule_ruleset_2013.osm,9.2.0-921312fa1d,6780579.418838238,2.9.1
lifecyclecostparameters.rb,9.2.0-921312fa1d,166569.38072386238,2.9.1
dual_duct.osm,9.2.0-921312fa1d,5384738.623924018,2.9.1
baseline_sys08.rb,9.2.0-921312fa1d,6552818.964826948,2.9.1
zone_air_movement.osm,9.2.0-921312fa1d,34213724.24062674,2.9.1
airloop_and_zonehvac.rb,9.2.0-921312fa1d,3774349.9456556765,2.9.1
ExampleModel.rb,9.2.0-921312fa1d,166569.38072386238,2.9.1
ducts_and_pipes.rb,9.2.0-921312fa1d,5378757.897894842,2.9.1
zone_control_contaminant_controller.osm,9.2.0-921312fa1d,6759329.359000813,2.9.1
airterminal_cooledbeam.osm,9.2.0-921312fa1d,6203017.578404115,2.9.1
plant_op_temp_schemes.osm,9.2.0-921312fa1d,2419322.1559421485,2.9.1
zone_fan_exhaust.rb,9.2.0-921312fa1d,4184242.9375063735,2.9.1
refrigeration_system.osm,9.2.0-921312fa1d,8205906.804365405,2.9.1
baseline_sys03.rb,9.2.0-921312fa1d,7143290.074439738,2.9.1
plant_op_schemes.rb,9.2.0-921312fa1d,7760337.976106114,2.9.1
heatexchanger_airtoair_sensibleandlatent.rb,9.2.0-921312fa1d,3457532.595019747,2.9.1
utility_bill02.rb,9.2.0-921312fa1d,5643142.005435038,2.9.1
performanceprecisiontradeoffs.rb,9.2.0-921312fa1d,4410894.445486898,2.9.1
zone_hvac2.osm,9.2.0-921312fa1d,4224591.512318112,2.9.1
schedule_file.osm,9.2.0-921312fa1d,6910875.838367709,2.9.1
roof_vegetation.rb,9.2.0-921312fa1d,4741976.443783542,2.9.1
ducts_and_pipes.osm,9.2.0-921312fa1d,5388624.674117303,2.9.1
zone_air_movement.rb,9.2.0-921312fa1d,34213724.24062674,2.9.1
dsn_oa_w_ideal_loads.osm,9.2.0-921312fa1d,6490926.506870488,2.9.1
pv_and_storage_facilityexcess.osm,9.2.0-921312fa1d,5626242.426179851,2.9.1
exterior_equipment.osm,9.2.0-921312fa1d,4922137.5220126975,2.9.1
foundation_kiva.osm,9.2.0-921312fa1d,4266579.810747991,2.9.1
daylighting_no_shades.rb,9.2.0-921312fa1d,5558994.801493622,2.9.1
pv_and_storage_facilityexcess.rb,9.2.0-921312fa1d,5626242.426179851,2.9.1
vrf.rb,9.2.0-921312fa1d,3806973.810936861,2.9.1
electric_equipment_ITE.rb,9.2.0-921312fa1d,8028418.570415533,2.9.1
lowtemprad_varflow.rb,9.2.0-921312fa1d,2089235.3656218331,2.9.1
air_terminals.rb,9.2.0-921312fa1d,8518240.980022252,2.9.1
multiple_airloops.rb,9.2.0-921312fa1d,13336488.267477406,2.9.1
afn_single_zone_nv.osm,9.2.0-921312fa1d,1044617.6828109166,2.9.1
vrf.osm,9.2.0-921312fa1d,3525822.8185383216,2.9.1
thermal_storage.rb,9.2.0-921312fa1d,7821794.438187229,2.9.1
utility_bill01.rb,9.2.0-921312fa1d,5639454.996837019,2.9.1
hightemprad.osm,9.2.0-921312fa1d,4425974.215871082,2.9.1
lowtemprad_constflow.rb,9.2.0-921312fa1d,9000935.804884214,2.9.1
fan_on_off.osm,9.2.0-921312fa1d,7853622.137087351,2.9.1
pv_and_storage_demandleveling.rb,9.2.0-921312fa1d,5554568.495541759,2.9.1
baseline_sys08.osm,9.2.0-921312fa1d,6540743.774714156,2.9.1
dual_duct.rb,9.2.0-921312fa1d,5384738.623924018,2.9.1
lowtemprad_constflow.osm,9.2.0-921312fa1d,8969923.228707563,2.9.1
unitary_system_performance_multispeed.rb,9.2.0-921312fa1d,2149118.451283228,2.9.1
water_heaters.rb,9.2.0-921312fa1d,6096009.025520741,2.9.1
interior_partitions.rb,9.2.0-921312fa1d,2868928.685133974,2.9.1
zone_property_user_view_factors_by_surface_name.osm,9.2.0-921312fa1d,3779354.4200509307,2.9.1
daylighting_no_shades.osm,9.2.0-921312fa1d,5558994.801493622,2.9.1
lowtemprad_varflow.osm,9.2.0-921312fa1d,2089235.3656218331,2.9.1
unitary_vav_bypass.rb,9.2.0-921312fa1d,4587577.034884502,2.9.1
sizing_zone_dszad.rb,9.2.0-921312fa1d,2938811.241414675,2.9.1
water_economizer.rb,9.2.0-921312fa1d,7885392.966960253,2.9.1
baseline_sys06.osm,9.2.0-921312fa1d,6354848.402907105,2.9.1
utility_bill01.osm,9.2.0-921312fa1d,5639454.996837019,2.9.1
heatpump_hot_water.rb,9.2.0-921312fa1d,4530793.311206532,2.9.1
solar_collector_flat_plate_photovoltaicthermal.osm,9.2.0-921312fa1d,6246493.9497128865,2.9.1
ems_scott.osm,9.2.0-921312fa1d,29192.767305650174,2.9.1
zone_hvac.rb,9.2.0-921312fa1d,6270123.030522297,2.9.1
plantloop_avms.osm,9.2.0-921312fa1d,5632952.9713916695,2.9.1
sizing_zone_dszad.osm,9.2.0-921312fa1d,2938811.241414675,2.9.1
unitary_test.osm,9.2.0-921312fa1d,2120380.6361953286,2.9.1
baseline_sys10.rb,9.2.0-921312fa1d,5915990.119859633,2.9.1
setpoint_managers.rb,9.2.0-921312fa1d,8015196.521587161,2.9.1
coil_waterheating_desuperheater.osm,9.2.0-921312fa1d,2857659.1395734483,2.9.1
baseline_sys09.osm,9.2.0-921312fa1d,6738941.812742874,2.9.1
airterminal_fourpipebeam.rb,9.2.0-921312fa1d,6121505.306057169,2.9.1
surface_properties.osm,9.2.0-921312fa1d,7565163.474691195,2.9.1
solar_collector_flat_plate_water.osm,9.2.0-921312fa1d,6115031.715125429,2.9.1
utility_bill02.osm,9.2.0-921312fa1d,5643142.005435038,2.9.1
centralheatpumpsystem.osm,9.2.0-921312fa1d,7688171.180565458,2.9.1
hot_water.osm,9.2.0-921312fa1d,7151583.47424248,2.9.1
ideal_plant.rb,9.2.0-921312fa1d,7158568.886419188,2.9.1
zone_hvac.osm,9.2.0-921312fa1d,3839569.241704436,2.9.1
fan_on_off.rb,9.2.0-921312fa1d,8434681.42269543,2.9.1
airloop_avms.osm,9.2.0-921312fa1d,4180830.795873246,2.9.1
cooling_coils.rb,9.2.0-921312fa1d,8162117.653406929,2.9.1
humidity_control.osm,9.2.0-921312fa1d,7918576.044342423,2.9.1
baseline_sys05.osm,9.2.0-921312fa1d,6988682.145774229,2.9.1
additional_props.rb,9.2.0-921312fa1d,5632952.9713916695,2.9.1
coilsystem_waterhx.rb,9.2.0-921312fa1d,4185588.8378172186,2.9.1
unitary_system_performance_multispeed.osm,9.2.0-921312fa1d,2158454.4499183143,2.9.1
pv_and_storage_demandleveling.osm,9.2.0-921312fa1d,5554568.495541759,2.9.1
unitary_vav_bypass_plenum.osm,9.2.0-921312fa1d,3798358.153313213,2.9.1
ideal_loads_w_plenums.osm,9.2.0-921312fa1d,1145218.9919609718,2.9.1
zone_mixing.rb,9.2.0-921312fa1d,1044617.6828109166,2.9.1
schedule_ruleset_2012_LeapYear.osm,9.2.0-921312fa1d,6791820.529885153,2.9.1
generator_microturbine.osm,9.2.0-921312fa1d,49598758.08475093,2.9.1
baseline_sys03.osm,9.2.0-921312fa1d,7137641.08440267,2.9.1
coil_waterheating_desuperheater.rb,9.2.0-921312fa1d,2857659.1395734483,2.9.1
plant_op_schemes.osm,9.2.0-921312fa1d,7760337.976106114,2.9.1
plantloop_avms.rb,9.2.0-921312fa1d,5632952.9713916695,2.9.1
shadowcalculation.osm,9.2.0-921312fa1d,2938811.241414675,2.9.1
plantloop_avms_temp.rb,9.2.0-921312fa1d,7090089.099476551,2.9.1
water_heaters.osm,9.2.0-921312fa1d,6287449.1274816245,2.9.1
availability_managers.osm,9.2.0-921312fa1d,4291478.966498623,2.9.1
water_economizer.osm,9.2.0-921312fa1d,6985554.3492771955,2.9.1
schedule_ruleset_2012_NonLeapYear.rb,9.2.0-921312fa1d,6791820.529885153,2.9.1
asymmetric_interior_constructions.osm,9.2.0-921312fa1d,5806327.679039382,2.9.1
foundation_kiva_customblocks.osm,9.2.0-921312fa1d,4261888.11600244,2.9.1
heatexchanger_airtoair_sensibleandlatent.osm,9.2.0-921312fa1d,3464461.1381692374,2.9.1
lowtemprad_electric.rb,9.2.0-921312fa1d,2104116.094410752,2.9.1
pvwatts.osm,9.2.0-921312fa1d,5651350.101696951,2.9.1
daylighting_shades.rb,9.2.0-921312fa1d,5678192.2825442245,2.9.1
unitary_system.osm,9.2.0-921312fa1d,3806461.989691892,2.9.1
interior_partitions.osm,9.2.0-921312fa1d,6115012.758783024,2.9.1
solar_collector_integralcollectorstorage.osm,9.2.0-921312fa1d,6264417.1714580115,2.9.1
baseline_sys10.osm,9.2.0-921312fa1d,5904834.312353545,2.9.1
centralheatpumpsystem.rb,9.2.0-921312fa1d,7705573.1028944105,2.9.1
plant_op_deltatemp_schemes.rb,9.2.0-921312fa1d,2419322.1559421485,2.9.1
generator_microturbine.rb,9.2.0-921312fa1d,49598758.08475093,2.9.1
baseline_sys07.osm,9.2.0-921312fa1d,7723193.023161035,2.9.1
coolingtowers.osm,9.2.0-921312fa1d,7773417.852366437,2.9.1
ems.osm,9.2.0-921312fa1d,32747.08150682511,2.9.1
evaporative_cooling.osm,9.2.0-921312fa1d,7410005.812095906,2.9.1
unitary_systems_airloop_and_zonehvac.osm,9.2.0-921312fa1d,5633351.054582202,2.9.1
space_load_instances.osm,9.2.0-921312fa1d,4981442.439230702,2.9.1
scheduled_infiltration.osm,9.2.0-921312fa1d,753078.6147737431,2.9.1
additional_props.osm,9.2.0-921312fa1d,5632952.9713916695,2.9.1
tablemultivariablelookup.osm,9.2.0-921312fa1d,6121505.306057169,2.9.1
coilsystem_dxhx.osm,9.2.0-921312fa1d,1156753.9263151851,2.9.1
surface_properties.rb,9.2.0-921312fa1d,7431293.784618143,2.9.1
